"Time (s)","Recording (a.u.)"
8.125000000E-3,3.730890155E-2
8.145833333E-3,3.393421322E-2
8.166666667E-3,3.093142435E-2
8.187500000E-3,2.905100212E-2
8.208333333E-3,2.688575909E-2
8.229166667E-3,2.337615937E-2
8.250000000E-3,1.836847700E-2
8.270833333E-3,1.553391106E-2
8.291666667E-3,1.788712479E-2
8.312500000E-3,1.971035078E-2
8.333333333E-3,1.822672784E-2
8.354166667E-3,1.799446344E-2
8.375000000E-3,1.841928065E-2
8.395833333E-3,1.720016077E-2
8.416666667E-3,1.596614532E-2
8.437500000E-3,1.537041087E-2
8.458333333E-3,1.531855296E-2
8.479166667E-3,1.529110409E-2
8.500000000E-3,1.280444209E-2
8.520833333E-3,8.648347110E-3
8.541666667E-3,6.838028319E-3
8.562500000E-3,6.490011234E-3
8.583333333E-3,4.692310467E-3
8.604166667E-3,1.519303536E-3
8.625000000E-3,-2.534851665E-3
8.645833333E-3,-4.604083952E-3
8.666666667E-3,-2.762841061E-3
8.687500000E-3,-1.180813997E-3
8.708333333E-3,-2.168791369E-3
8.729166667E-3,-4.010619596E-3
8.750000000E-3,-5.312543828E-3
8.770833333E-3,-4.163757432E-3
8.791666667E-3,-2.311692806E-4
8.812500000E-3,4.640391562E-3
8.833333333E-3,7.119763643E-3
8.854166667E-3,4.036730621E-3
8.875000000E-3,-1.196557423E-3
8.895833333E-3,-4.206514917E-3
8.916666667E-3,-6.607222371E-3
8.937500000E-3,-7.930088788E-3
8.958333333E-3,-6.139067002E-3
8.979166667E-3,-4.325003829E-3
9.000000000E-3,-5.031446926E-3
9.020833333E-3,-6.840540096E-3
9.041666667E-3,-7.705762051E-3
9.062500000E-3,-6.478600204E-3
9.083333333E-3,-5.269174464E-3
9.104166667E-3,-6.062646396E-3
9.125000000E-3,-6.432136986E-3
9.145833333E-3,-5.885387771E-3
9.166666667E-3,-6.745565683E-3
9.187500000E-3,-8.270822465E-3
9.208333333E-3,-8.557397872E-3
9.229166667E-3,-8.448525332E-3
9.250000000E-3,-9.497111663E-3
9.270833333E-3,-1.099831052E-2
9.291666667E-3,-1.280179247E-2
9.312500000E-3,-1.477903314E-2
9.333333333E-3,-1.474570855E-2
9.354166667E-3,-1.323791873E-2
9.375000000E-3,-1.179182436E-2
9.395833333E-3,-1.025399938E-2
9.416666667E-3,-9.359490126E-3
9.437500000E-3,-8.420384489E-3
9.458333333E-3,-6.015523802E-3
9.479166667E-3,-3.548765555E-3
9.500000000E-3,-3.068751190E-3
9.520833333E-3,-4.642236046E-3
9.541666667E-3,-7.062463090E-3
9.562500000E-3,-8.424784057E-3
9.583333333E-3,-9.108024649E-3
9.604166667E-3,-1.338270493E-2
9.625000000E-3,-1.942968182E-2
9.645833333E-3,-1.921674982E-2
9.666666667E-3,-1.277828682E-2
9.687500000E-3,-7.147876546E-3
9.708333333E-3,-6.516323891E-3
9.729166667E-3,-8.880792186E-3
9.750000000E-3,-9.080184624E-3
9.770833333E-3,-5.877471063E-3
9.791666667E-3,-2.484417986E-3
9.812500000E-3,-1.735169673E-3
9.833333333E-3,-3.456980921E-3
9.854166667E-3,-6.137373857E-3
9.875000000E-3,-7.710004225E-3
9.895833333E-3,-5.177531391E-3
9.916666667E-3,2.720025368E-4
9.937500000E-3,4.541495349E-3
9.958333333E-3,6.839022506E-3
9.979166667E-3,8.426061831E-3
1.000000000E-2,1.019373629E-2
1.002083333E-2,1.061723381E-2
1.004166667E-2,9.392347187E-3
1.006250000E-2,1.095425338E-2
1.008333333E-2,1.594551094E-2
1.010416667E-2,1.941343769E-2
1.012500000E-2,1.820359007E-2
1.014583333E-2,1.418524794E-2
1.016666667E-2,1.299787406E-2
1.018750000E-2,1.587842777E-2
1.020833333E-2,1.780735329E-2
1.022916667E-2,1.677831821E-2
1.025000000E-2,1.517596748E-2
1.027083333E-2,1.472041011E-2
1.029166667E-2,1.586613804E-2
1.031250000E-2,1.847408712E-2
1.033333333E-2,2.091224492E-2
1.035416667E-2,2.220305428E-2
1.037500000E-2,2.405897155E-2
1.039583333E-2,2.629162744E-2
1.041666667E-2,2.612922154E-2
1.043750000E-2,2.331120335E-2
1.045833333E-2,2.046120726E-2
1.047916667E-2,2.059107274E-2
1.050000000E-2,2.360236086E-2
1.052083333E-2,2.625446394E-2
1.054166667E-2,2.760094777E-2
1.056250000E-2,2.902423218E-2
1.058333333E-2,3.075578809E-2
1.060416667E-2,3.287224472E-2
1.062500000E-2,3.605132177E-2
1.064583333E-2,3.949562088E-2
1.066666667E-2,4.146282375E-2
1.068750000E-2,4.230231792E-2
1.070833333E-2,4.246412590E-2
1.072916667E-2,4.054585844E-2
1.075000000E-2,3.754025325E-2
1.077083333E-2,3.522777557E-2
1.079166667E-2,3.274306655E-2
1.081250000E-2,3.128710762E-2
1.083333333E-2,3.210891038E-2
1.085416667E-2,3.187063336E-2
1.087500000E-2,2.951310389E-2
1.089583333E-2,2.825659327E-2
1.091666667E-2,2.797691897E-2
1.093750000E-2,2.607786469E-2
1.095833333E-2,2.308755182E-2
1.097916667E-2,2.057546750E-2
1.100000000E-2,2.065092698E-2
1.102083333E-2,2.430846915E-2
1.104166667E-2,2.592244558E-2
1.106250000E-2,2.320485562E-2
1.108333333E-2,2.111652866E-2
1.110416667E-2,1.844635606E-2
1.112500000E-2,1.252005622E-2
1.114583333E-2,7.198357023E-3
1.116666667E-2,6.351443008E-3
1.118750000E-2,8.801991120E-3
1.120833333E-2,7.639305200E-3
1.122916667E-2,1.497898134E-3
1.125000000E-2,-2.145947888E-3
1.127083333E-2,-2.040809486E-3
1.129166667E-2,-1.695217332E-3
1.131250000E-2,-1.513092080E-3
1.133333333E-2,-2.353452146E-3
1.135416667E-2,-4.679632839E-3
1.137500000E-2,-6.205344573E-3
1.139583333E-2,-5.170091055E-3
1.141666667E-2,-4.937489517E-3
1.143750000E-2,-9.473368526E-3
1.145833333E-2,-1.519497856E-2
1.147916667E-2,-1.607960090E-2
1.150000000E-2,-1.241524704E-2
1.152083333E-2,-1.128172874E-2
1.154166667E-2,-1.570971869E-2
1.156250000E-2,-1.872037724E-2
1.158333333E-2,-1.821530983E-2
1.160416667E-2,-1.939383522E-2
1.162500000E-2,-2.231749892E-2
1.164583333E-2,-2.451365814E-2
1.166666667E-2,-2.612190507E-2
1.168750000E-2,-2.881605551E-2
1.170833333E-2,-3.188515455E-2
1.172916667E-2,-3.283682466E-2
1.175000000E-2,-3.393591195E-2
1.177083333E-2,-3.640645742E-2
1.179166667E-2,-3.708956391E-2
1.181250000E-2,-3.692218661E-2
1.183333333E-2,-3.807474673E-2
1.185416667E-2,-3.987044841E-2
1.187500000E-2,-4.287989438E-2
1.189583333E-2,-4.628698900E-2
1.191666667E-2,-4.684929177E-2
1.193750000E-2,-4.519564286E-2
1.195833333E-2,-4.539844394E-2
1.197916667E-2,-4.885486141E-2
1.200000000E-2,-5.191450566E-2
1.202083333E-2,-5.188979954E-2
1.204166667E-2,-5.176390335E-2
1.206250000E-2,-5.313360319E-2
1.208333333E-2,-5.494282022E-2
1.210416667E-2,-5.849497765E-2
1.212500000E-2,-6.345982850E-2
1.214583333E-2,-6.596598029E-2
1.216666667E-2,-6.454412639E-2
1.218750000E-2,-6.319706142E-2
1.220833333E-2,-6.485217810E-2
1.222916667E-2,-6.683179736E-2
1.225000000E-2,-6.674493849E-2
1.227083333E-2,-6.636588275E-2
1.229166667E-2,-6.828274578E-2
1.231250000E-2,-6.948246062E-2
1.233333333E-2,-6.573725492E-2
1.235416667E-2,-6.179594249E-2
1.237500000E-2,-6.339560449E-2
1.239583333E-2,-6.782913208E-2
1.241666667E-2,-7.019060850E-2
1.243750000E-2,-6.945973635E-2
1.245833333E-2,-6.651324034E-2
1.247916667E-2,-6.199099496E-2
1.250000000E-2,-5.812460557E-2
1.252083333E-2,-5.769533664E-2
1.254166667E-2,-6.053905562E-2
1.256250000E-2,-6.201329082E-2
1.258333333E-2,-5.834386498E-2
1.260416667E-2,-5.340380594E-2
1.262500000E-2,-5.167873949E-2
1.264583333E-2,-5.207797512E-2
