"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.026562500E4,3.641507547E-1
1.028906250E4,2.782084458E-1
1.031250000E4,3.290674345E-1
1.033593750E4,5.078546360E-1
1.035937500E4,2.418006972E-1
1.038281250E4,3.598885234E-1
1.040625000E4,9.494362150E-2
1.042968750E4,1.224292819E-1
1.045312500E4,1.622363214E-1
1.047656250E4,1.612416325E-1
1.050000000E4,2.568619236E-1
1.052343750E4,3.755685017E-1
1.054687500E4,6.373854900E-1
1.057031250E4,3.452341887E-1
1.059375000E4,1.428624749E-1
1.061718750E4,2.446370369E-1
1.064062500E4,6.213480230E-2
1.066406250E4,1.830034994E-1
1.068750000E4,2.063952069E-1
1.071093750E4,1.535944998E-1
1.073437500E4,2.939000592E-2
1.075781250E4,1.838596094E-1
1.078125000E4,1.433167950E-1
1.080468750E4,1.182510104E-1
1.082812500E4,7.350900277E-2
1.085156250E4,2.173962249E-1
1.087500000E4,2.180271180E-1
1.089843750E4,1.239335895E-1
1.092187500E4,1.176179225E-1
1.094531250E4,1.125682481E-1
1.096875000E4,2.888837996E-2
1.099218750E4,1.083476323E-1
1.101562500E4,1.044445975E-1
1.103906250E4,2.838726862E-2
1.106250000E4,7.940935785E-2
1.108593750E4,5.046383011E-2
1.110937500E4,5.788291142E-2
1.113281250E4,8.228144103E-2
1.115625000E4,6.442933876E-2
1.117968750E4,9.511935910E-3
1.120312500E4,2.098221738E-2
1.122656250E4,2.004652469E-2
1.125000000E4,7.029680353E-2
1.127343750E4,4.091040233E-2
1.129687500E4,1.139076464E-1
1.132031250E4,3.240864619E-2
1.134375000E4,2.986525850E-2
1.136718750E4,4.681015010E-2
1.139062500E4,3.236690231E-2
1.141406250E4,2.853343299E-2
1.143750000E4,6.838407396E-2
1.146093750E4,5.065793462E-2
1.148437500E4,4.484839352E-2
1.150781250E4,7.122386603E-2
1.153125000E4,2.522471156E-2
1.155468750E4,4.507206550E-2
1.157812500E4,2.318683075E-2
1.160156250E4,6.146628194E-2
1.162500000E4,6.251394600E-2
1.164843750E4,5.492380577E-2
1.167187500E4,4.807850850E-2
1.169531250E4,3.935131052E-2
1.171875000E4,2.146273062E-2
1.174218750E4,3.755200413E-2
1.176562500E4,2.460089085E-2
1.178906250E4,9.149047230E-2
1.181250000E4,1.034281679E-1
1.183593750E4,1.030985612E-1
1.185937500E4,3.531460405E-2
1.188281250E4,3.630122501E-3
1.190625000E4,3.452318059E-2
1.192968750E4,4.268475007E-2
1.195312500E4,3.890880168E-2
1.197656250E4,1.109694856E-1
1.200000000E4,3.731554213E-2
1.202343750E4,1.104951445E-1
1.204687500E4,6.687050509E-2
1.207031250E4,3.067272861E-2
1.209375000E4,5.967183710E-2
1.211718750E4,6.129703651E-2
1.214062500E4,2.427097704E-2
1.216406250E4,1.083910478E-1
1.218750000E4,8.873696074E-2
1.221093750E4,4.905740198E-2
1.223437500E4,4.865731319E-2
1.225781250E4,4.663749080E-2
1.228125000E4,4.731550832E-2
1.230468750E4,2.045800812E-2
1.232812500E4,2.250418891E-2
1.235156250E4,5.813841778E-2
1.237500000E4,7.701622307E-2
1.239843750E4,7.172282897E-2
1.242187500E4,3.768483194E-2
1.244531250E4,6.854487244E-2
1.246875000E4,4.012164089E-2
1.249218750E4,5.975020004E-2
1.251562500E4,4.129843932E-2
1.253906250E4,3.112370786E-2
1.256250000E4,3.840729418E-2
1.258593750E4,4.819658399E-2
1.260937500E4,5.660843959E-2
1.263281250E4,4.944333737E-2
1.265625000E4,5.110573515E-2
1.267968750E4,2.295817036E-2
1.270312500E4,4.421384616E-2
1.272656250E4,6.066426521E-2
1.275000000E4,2.338362750E-2
1.277343750E4,8.967289668E-3
1.279687500E4,5.910044918E-2
1.282031250E4,4.828905165E-2
1.284375000E4,1.897187570E-2
1.286718750E4,4.595934743E-3
1.289062500E4,5.402418842E-2
1.291406250E4,6.170844109E-2
1.293750000E4,2.473701133E-2
1.296093750E4,4.808527081E-2
1.298437500E4,2.020892654E-2
1.300781250E4,5.179693391E-3
1.303125000E4,4.137709467E-2
1.305468750E4,6.676660094E-2
1.307812500E4,6.143945044E-2
1.310156250E4,2.469551861E-2
1.312500000E4,1.427070107E-2
1.314843750E4,2.202821463E-2
1.317187500E4,4.586442733E-2
1.319531250E4,2.652664821E-2
1.321875000E4,3.658054877E-2
1.324218750E4,4.313277431E-2
1.326562500E4,3.729979469E-2
1.328906250E4,4.400051652E-2
1.331250000E4,2.668936119E-2
1.333593750E4,5.622036626E-2
1.335937500E4,5.323841788E-2
1.338281250E4,4.518070700E-2
1.340625000E4,4.595795710E-2
1.342968750E4,6.379987260E-2
1.345312500E4,7.844486673E-2
1.347656250E4,2.156487684E-2
1.350000000E4,4.990827238E-2
1.352343750E4,3.636758425E-2
1.354687500E4,1.776062758E-2
1.357031250E4,6.031734927E-2
1.359375000E4,4.305428271E-2
1.361718750E4,2.942876026E-2
1.364062500E4,4.995621226E-2
1.366406250E4,4.462700562E-2
1.368750000E4,2.605421872E-2
1.371093750E4,2.784775891E-2
1.373437500E4,2.292399251E-2
1.375781250E4,4.285893190E-2
1.378125000E4,3.472983033E-2
1.380468750E4,3.513633660E-2
1.382812500E4,4.645923403E-2
1.385156250E4,4.620873276E-2
1.387500000E4,3.628042872E-3
1.389843750E4,2.667713381E-2
1.392187500E4,4.247813733E-2
1.394531250E4,4.524694598E-2
1.396875000E4,2.284072300E-2
1.399218750E4,3.250841679E-2
1.401562500E4,2.963723679E-2
1.403906250E4,4.602463046E-2
1.406250000E4,4.011630445E-2
1.408593750E4,2.456227175E-2
1.410937500E4,2.525387917E-2
1.413281250E4,2.780855452E-2
1.415625000E4,5.874173506E-2
1.417968750E4,4.430154517E-2
1.420312500E4,1.971179506E-2
