BrightnessEV_mean,trial,experimenter,Peak-Frequency_mean,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,timestamp,Inclination (deg)_mean,Rotation (deg)_mean,Peak-Frequency_norm,Sound-pressure-level_norm,Linear-Acceleration-norm,heart_rate
4.419651268511881,2,Esmee,68.27445652173913,-27.001126823,0.8882841157980198,0.0385294459846086,0.1324995566419901,0.903362148610891,475.0,5.7323042005,-6.5388161315,0.011067193675889325,0.1530608430866128,0.738550487648386,67.96647789174423
4.709860487914776,2,Esmee,76.171875,-27.04272830555556,0.8166299506379999,0.028328605011342,0.12404143536343,0.832281713245,476.0,5.629639085,-6.315353688,0.015151515151515152,0.15054448965582679,0.6781629637734488,67.53486788908782
4.563659294812893,2,Esmee,76.42663043478261,-27.16258156,0.7203090632485147,0.0330110045039821,0.1073911494832079,0.731304981339604,477.0,5.2303009295,-6.696835918,0.015283267457180501,0.14329491273006822,0.5969320853636034,66.80066098481325
4.565777037606464,2,Esmee,73.3695652173913,-26.03688619,0.6857503829039604,0.0462187950859336,0.0836865893332574,0.7016044417188119,478.0,5.1233349565,-8.8263180545,0.013702239789196307,0.21138497184121513,0.5663979844507946,67.34184833348486
4.585271515407857,2,Esmee,62.5,-24.101673056,0.6226767823570001,0.02708926572767,0.07872586489673,0.643904119111,479.0,5.0860367790000005,-6.989046657,0.00808080808080808,0.32844042058728934,0.5129207406504266,68.20626713386704
4.60228238874229,2,Esmee,73.3695652173913,-22.71485575111111,0.5941514943970296,0.0444036644826633,0.0815555802730495,0.6061844319475247,480.0,5.102607394,-8.9589627815,0.013702239789196307,0.4123249907674492,0.49053959970334005,69.14626148262003
4.836371328447893,2,Esmee,67.3828125,-21.46944861333333,0.560612190819,0.0456706353350359,0.07793373674219,0.579376172303,481.0,5.0943470485,-8.121769098,0.010606060606060607,0.48765606868485534,0.46260137137769913,69.76480500736108
4.668822233671052,2,Esmee,73.3695652173913,-22.693907947777777,0.518095364459406,0.0279869856340108,0.0768334094374158,0.5402207016732673,482.0,5.04345627,-7.5948329395,0.013702239789196307,0.4135920628415,0.4264848499333284,68.64902834934855
4.563518114129447,2,Esmee,73.2421875,-21.808096829,0.484900205262,0.036372167886378,0.070947033241755,0.506478158505,483.0,4.8762610395,-10.7900755945,0.013636363636363636,0.4671722169811498,0.39889959307677925,69.06999062111531
4.638210552730042,2,Esmee,74.38858695652173,-20.042946746666665,0.4507841999871287,0.037391825311493,0.0734925419849,0.4707216289594059,484.0,5.114452901,-8.918928617,0.014229249011857705,0.5739410432988086,0.371273375169485,70.14206450117874
4.695184109174326,2,Esmee,72.265625,-18.658320074444443,0.397066065116,0.0269020334964,0.06192773818176,0.448719135617,485.0,5.0292867015,-9.963596212,0.013131313131313131,0.657693108440981,0.3250188532969253,70.75509439029344
4.956541627183379,2,Esmee,85.59782608695652,-22.337990127,0.3289614794772277,0.0069381859642178,0.0735430480348396,0.4042313972881188,486.0,4.4768727645,-10.7503354165,0.020026350461133068,0.43512050304061833,0.27033461884948684,67.78464999650598
4.325465380915361,2,Esmee,69.29347826086956,-21.94266585444445,0.2992668740299999,0.013541768460945,0.0297277179994999,0.359164208795,487.0,4.63097747,-12.0535170645,0.011594202898550723,0.4590325256035065,0.24023991320648733,67.662193670865
