"Time (s)","Recording (a.u.)"
5.354166667E-3,-7.070519030E-2
5.375000000E-3,-6.748288870E-2
5.395833333E-3,-6.418166310E-2
5.416666667E-3,-6.396354735E-2
5.437500000E-3,-6.478951126E-2
5.458333333E-3,-6.403504312E-2
5.479166667E-3,-6.313467026E-2
5.500000000E-3,-6.280617416E-2
5.520833333E-3,-6.065031886E-2
5.541666667E-3,-5.750021711E-2
5.562500000E-3,-5.592704564E-2
5.583333333E-3,-5.558899045E-2
5.604166667E-3,-5.469211563E-2
5.625000000E-3,-5.325534940E-2
5.645833333E-3,-5.139216781E-2
5.666666667E-3,-4.770281911E-2
5.687500000E-3,-4.308453947E-2
5.708333333E-3,-3.964900225E-2
5.729166667E-3,-3.749597818E-2
5.750000000E-3,-3.407496586E-2
5.770833333E-3,-2.868589759E-2
5.791666667E-3,-2.472077683E-2
5.812500000E-3,-2.316184156E-2
5.833333333E-3,-2.152216807E-2
5.854166667E-3,-1.707394235E-2
5.875000000E-3,-1.158461906E-2
5.895833333E-3,-8.115314879E-3
5.916666667E-3,-5.414948799E-3
5.937500000E-3,-4.542401992E-3
5.958333333E-3,-5.227005575E-3
5.979166667E-3,-4.150474444E-3
6.000000000E-3,-1.650518738E-3
6.020833333E-3,1.026529819E-3
6.041666667E-3,2.705236897E-3
6.062500000E-3,3.610008163E-3
6.083333333E-3,3.774081357E-3
6.104166667E-3,3.068506951E-3
6.125000000E-3,3.475164063E-3
6.145833333E-3,3.812928917E-3
6.166666667E-3,4.022321664E-3
6.187500000E-3,5.313075148E-3
6.208333333E-3,5.222135223E-3
6.229166667E-3,3.385951044E-3
6.250000000E-3,1.207527472E-3
6.270833333E-3,-2.981618745E-4
6.291666667E-3,-1.418587985E-3
6.312500000E-3,-4.288828000E-3
6.333333333E-3,-8.390382864E-3
6.354166667E-3,-1.202288084E-2
6.375000000E-3,-1.540022250E-2
6.395833333E-3,-1.920142397E-2
6.416666667E-3,-2.254894190E-2
6.437500000E-3,-2.402872220E-2
6.458333333E-3,-2.581879869E-2
6.479166667E-3,-2.894719504E-2
6.500000000E-3,-3.052213043E-2
6.520833333E-3,-3.214155510E-2
6.541666667E-3,-3.460016474E-2
6.562500000E-3,-3.386573121E-2
6.583333333E-3,-3.170160577E-2
6.604166667E-3,-3.105700202E-2
6.625000000E-3,-3.126037866E-2
6.645833333E-3,-3.193043172E-2
6.666666667E-3,-3.088414297E-2
6.687500000E-3,-2.864344046E-2
6.708333333E-3,-2.823382057E-2
6.729166667E-3,-2.877396531E-2
6.750000000E-3,-2.920537628E-2
6.770833333E-3,-3.017325699E-2
6.791666667E-3,-3.078536130E-2
6.812500000E-3,-2.991080284E-2
6.833333333E-3,-2.857557312E-2
6.854166667E-3,-2.720707096E-2
6.875000000E-3,-2.623084560E-2
6.895833333E-3,-2.591776103E-2
6.916666667E-3,-2.304337174E-2
6.937500000E-3,-1.750105247E-2
6.958333333E-3,-1.241571270E-2
6.979166667E-3,-8.164955303E-3
7.000000000E-3,-4.727690481E-3
7.020833333E-3,-1.232884824E-3
7.041666667E-3,3.441323759E-3
7.062500000E-3,8.143266663E-3
7.083333333E-3,1.233109273E-2
7.104166667E-3,1.708674803E-2
7.125000000E-3,2.114922926E-2
7.145833333E-3,2.350737900E-2
7.166666667E-3,2.641998604E-2
7.187500000E-3,2.867567912E-2
7.208333333E-3,2.943663299E-2
7.229166667E-3,3.117424250E-2
7.250000000E-3,3.299968690E-2
7.270833333E-3,3.435347974E-2
7.291666667E-3,3.568580002E-2
7.312500000E-3,3.821065277E-2
7.333333333E-3,4.285002500E-2
7.354166667E-3,4.607129470E-2
7.375000000E-3,4.766947031E-2
7.395833333E-3,4.979638010E-2
7.416666667E-3,5.152940750E-2
7.437500000E-3,5.264021456E-2
7.458333333E-3,5.307071656E-2
7.479166667E-3,5.404633284E-2
7.500000000E-3,5.639920756E-2
7.520833333E-3,5.729589611E-2
7.541666667E-3,5.560422689E-2
7.562500000E-3,5.348916352E-2
7.583333333E-3,5.222328752E-2
7.604166667E-3,5.175462738E-2
7.625000000E-3,5.157170445E-2
7.645833333E-3,4.926557094E-2
7.666666667E-3,4.472935200E-2
7.687500000E-3,4.197579250E-2
7.708333333E-3,4.164183140E-2
7.729166667E-3,4.219978675E-2
7.750000000E-3,4.290797189E-2
7.770833333E-3,4.228594899E-2
7.791666667E-3,4.117265344E-2
7.812500000E-3,3.985457867E-2
7.833333333E-3,3.710822016E-2
7.854166667E-3,3.419448063E-2
7.875000000E-3,3.117191978E-2
7.895833333E-3,2.788317204E-2
7.916666667E-3,2.598511428E-2
7.937500000E-3,2.465939522E-2
7.958333333E-3,2.224441059E-2
7.979166667E-3,1.951200515E-2
8.000000000E-3,1.851182431E-2
8.020833333E-3,1.884575933E-2
8.041666667E-3,1.802204177E-2
8.062500000E-3,1.618862897E-2
8.083333333E-3,1.451828144E-2
8.104166667E-3,1.334287785E-2
8.125000000E-3,1.284377370E-2
8.145833333E-3,1.298801787E-2
8.166666667E-3,1.460034214E-2
8.187500000E-3,1.673417911E-2
8.208333333E-3,1.704556309E-2
8.229166667E-3,1.627668366E-2
8.250000000E-3,1.653776504E-2
8.270833333E-3,1.747073606E-2
8.291666667E-3,1.786843874E-2
8.312500000E-3,1.897630282E-2
8.333333333E-3,2.111964859E-2
8.354166667E-3,2.320040762E-2
8.375000000E-3,2.635942586E-2
8.395833333E-3,2.903615311E-2
8.416666667E-3,2.814786881E-2
8.437500000E-3,2.670419030E-2
8.458333333E-3,2.781267837E-2
8.479166667E-3,2.933889255E-2
8.500000000E-3,3.037021682E-2
8.520833333E-3,3.239686787E-2
8.541666667E-3,3.511777893E-2
8.562500000E-3,3.747055307E-2
8.583333333E-3,3.974235803E-2
8.604166667E-3,4.279438406E-2
8.625000000E-3,4.596717656E-2
8.645833333E-3,4.852013290E-2
8.666666667E-3,5.100394040E-2
8.687500000E-3,5.267567188E-2
8.708333333E-3,5.411012843E-2
8.729166667E-3,5.653043091E-2
8.750000000E-3,5.736378580E-2
8.770833333E-3,5.606557429E-2
8.791666667E-3,5.524334311E-2
8.812500000E-3,5.481733754E-2
8.833333333E-3,5.404873192E-2
8.854166667E-3,5.405327678E-2
8.875000000E-3,5.514331535E-2
8.895833333E-3,5.612555891E-2
8.916666667E-3,5.654278398E-2
8.937500000E-3,5.647300184E-2
8.958333333E-3,5.622874573E-2
8.979166667E-3,5.614345521E-2
9.000000000E-3,5.531590059E-2
9.020833333E-3,5.470621213E-2
9.041666667E-3,5.574394390E-2
9.062500000E-3,5.586202815E-2
9.083333333E-3,5.434972048E-2
9.104166667E-3,5.348417908E-2
9.125000000E-3,5.285076797E-2
9.145833333E-3,5.215666071E-2
9.166666667E-3,5.163726211E-2
9.187500000E-3,5.003680289E-2
9.208333333E-3,4.793009907E-2
9.229166667E-3,4.671169817E-2
9.250000000E-3,4.633335769E-2
9.270833333E-3,4.605721682E-2
9.291666667E-3,4.538882896E-2
9.312500000E-3,4.452317208E-2
9.333333333E-3,4.395455122E-2
9.354166667E-3,4.499096423E-2
9.375000000E-3,4.631635919E-2
9.395833333E-3,4.550931975E-2
9.416666667E-3,4.501660913E-2
9.437500000E-3,4.517447203E-2
9.458333333E-3,4.364455491E-2
9.479166667E-3,4.213577509E-2
9.500000000E-3,4.097421467E-2
9.520833333E-3,3.900668770E-2
9.541666667E-3,3.743857145E-2
9.562500000E-3,3.691133484E-2
9.583333333E-3,3.755494207E-2
9.604166667E-3,3.884917498E-2
9.625000000E-3,3.950387239E-2
9.645833333E-3,3.996259719E-2
9.666666667E-3,4.104957357E-2
9.687500000E-3,4.240672290E-2
9.708333333E-3,4.330512136E-2
9.729166667E-3,4.359364882E-2
9.750000000E-3,4.410824180E-2
9.770833333E-3,4.492414743E-2
9.791666667E-3,4.582984000E-2
9.812500000E-3,4.701314121E-2
9.833333333E-3,4.779681191E-2
9.854166667E-3,4.779114574E-2
9.875000000E-3,4.696697742E-2
9.895833333E-3,4.620781541E-2
9.916666667E-3,4.595573246E-2
9.937500000E-3,4.476857930E-2
9.958333333E-3,4.386539012E-2
9.979166667E-3,4.408174753E-2
1.000000000E-2,4.395094141E-2
1.002083333E-2,4.459120333E-2
1.004166667E-2,4.589910805E-2
1.006250000E-2,4.668252915E-2
1.008333333E-2,4.826634377E-2
1.010416667E-2,5.096417665E-2
1.012500000E-2,5.342958122E-2
1.014583333E-2,5.437874794E-2
1.016666667E-2,5.393676087E-2
1.018750000E-2,5.405760929E-2
1.020833333E-2,5.502729863E-2
1.022916667E-2,5.517711490E-2
1.025000000E-2,5.441594496E-2
1.027083333E-2,5.269175768E-2
1.029166667E-2,5.005194247E-2
1.031250000E-2,4.869148880E-2
1.033333333E-2,4.822096229E-2
1.035416667E-2,4.690074176E-2
1.037500000E-2,4.606555402E-2
1.039583333E-2,4.560129717E-2
1.041666667E-2,4.350829870E-2
1.043750000E-2,4.046510160E-2
1.045833333E-2,3.747342527E-2
1.047916667E-2,3.338629752E-2
1.050000000E-2,2.965785936E-2
1.052083333E-2,2.761337161E-2
1.054166667E-2,2.471279539E-2
1.056250000E-2,2.226255648E-2
1.058333333E-2,2.106829174E-2
1.060416667E-2,1.741545275E-2
1.062500000E-2,1.369982585E-2
1.064583333E-2,1.317019574E-2
1.066666667E-2,1.199074835E-2
