"Time (s)","Sound pressure level (dB)"
2.617771991E2,-2.687852033E1
2.618846175E2,-3.164717256E1
2.619938640E2,-2.602599128E1
2.621022490E2,-2.598303722E1
2.622106302E2,-2.922105519E1
2.623188865E2,-2.787696473E1
2.624284872E2,-2.830213739E1
2.625337951E2,-2.695389933E1
2.626438734E2,-2.850894411E1
2.627485985E2,-2.876730297E1
2.628597827E2,-3.079477560E1
2.629689303E2,-2.831316132E1
2.630771465E2,-2.788854960E1
2.631855320E2,-2.771012311E1
2.632938138E2,-2.806444130E1
2.634022488E2,-2.613016604E1
2.635105617E2,-2.894439350E1
2.636211625E2,-2.727982887E1
2.637271148E2,-2.909827703E1
2.638380226E2,-2.855741487E1
2.639437978E2,-2.988107196E1
2.640521836E2,-3.036753521E1
2.641605693E2,-2.618841435E1
2.642659741E2,-2.532121335E1
2.643699331E2,-2.722513474E1
2.644772730E2,-2.979609758E1
2.645855232E2,-2.781369737E1
2.646956111E2,-2.729989434E1
2.648067812E2,-2.619947499E1
2.649106105E2,-2.775638641E1
2.650189510E2,-2.767451295E1
2.651271632E2,-2.797911308E1
2.652365669E2,-2.963910360E1
2.653438912E2,-2.903697798E1
2.654460803E2,-2.748390599E1
2.655521996E2,-2.714514396E1
2.656604985E2,-2.619280640E1
2.657688866E2,-2.947046929E1
2.658771934E2,-3.127569027E1
2.659811098E2,-3.002606444E1
2.660909560E2,-3.028497565E1
2.661938104E2,-2.821407689E1
2.663022844E2,-2.842386739E1
2.664105551E2,-2.822024963E1
2.665139892E2,-2.759018627E1
2.666199048E2,-2.591553085E1
2.667271126E2,-2.669028613E1
2.668339220E2,-2.755833913E1
2.669438737E2,-2.734360088E1
2.670472987E2,-2.751240651E1
2.671585262E2,-2.878002063E1
2.672604507E2,-2.663930186E1
2.673689067E2,-3.079156188E1
2.674773055E2,-2.471434154E1
2.675809709E2,-2.124351034E1
2.676909785E2,-2.042258334E1
2.677954661E2,-2.490648126E1
2.679066539E2,-2.986901152E1
2.680105949E2,-2.441132257E1
2.681188650E2,-2.083643930E1
2.682271994E2,-2.346500817E1
2.683353831E2,-2.723550622E1
2.684438713E2,-2.025102573E1
2.685531156E2,-1.990723861E1
2.686605521E2,-1.979991059E1
2.687688745E2,-2.376470216E1
2.688772309E2,-2.457426555E1
2.689794172E2,-2.205105696E1
2.690834783E2,-1.907440846E1
2.691938955E2,-1.924887263E1
2.693022558E2,-2.268971517E1
2.694105413E2,-2.518131641E1
2.695213278E2,-2.240732105E1
2.696271579E2,-2.215533408E1
2.697365533E2,-2.483242463E1
2.698438070E2,-2.501175099E1
2.699522063E2,-2.311341384E1
2.700604859E2,-2.023496863E1
2.701688903E2,-2.046000738E1
2.702771588E2,-2.441789045E1
2.703859094E2,-2.349705227E1
2.704938338E2,-2.125342775E1
2.705961471E2,-2.209215273E1
2.707059811E2,-2.150467828E1
2.708106289E2,-2.181579119E1
2.709134125E2,-2.347517500E1
2.710245648E2,-2.009202824E1
2.711272154E2,-1.846667232E1
2.712355695E2,-2.033876454E1
2.713439407E2,-1.841287374E1
2.714463358E2,-2.071998027E1
2.715531561E2,-1.775309363E1
2.716605248E2,-1.993640002E1
2.717624550E2,-2.479685966E1
2.718685725E2,-2.585076406E1
2.719772927E2,-2.890917222E1
2.720855573E2,-2.332668503E1
2.721938404E2,-2.456439018E1
2.723022803E2,-2.546712441E1
2.724105726E2,-2.631759240E1
2.725189337E2,-2.732171396E1
2.726271489E2,-2.459779824E1
2.727307177E2,-2.616928543E1
2.728392600E2,-2.728328510E1
2.729438356E2,-2.713342594E1
2.730549993E2,-2.461565177E1
2.731604708E2,-2.370964435E1
2.732688854E2,-2.138909619E1
2.733771631E2,-2.492420346E1
2.734855774E2,-2.240636982E1
2.735937944E2,-1.853585746E1
2.737017606E2,-1.914499821E1
2.738105117E2,-2.428746554E1
2.739187004E2,-2.661511924E1
2.740272312E2,-2.727043168E1
2.741327271E2,-2.839483891E1
2.742366603E2,-2.869288233E1
2.743439273E2,-2.822315119E1
2.744503728E2,-2.792489419E1
2.745605468E2,-2.945676045E1
2.746689137E2,-2.812034902E1
2.747772475E2,-3.002393292E1
2.748855508E2,-2.806237763E1
2.749938805E2,-2.622153902E1
2.751022594E2,-2.777640730E1
2.752105947E2,-2.965131437E1
2.753189020E2,-2.961142116E1
2.754271727E2,-2.905301962E1
2.755351139E2,-2.886670056E1
2.756438489E2,-2.989725168E1
2.757512410E2,-2.975066110E1
2.758604880E2,-2.666891781E1
2.759688858E2,-2.900594843E1
2.760772043E2,-2.877276299E1
2.761855552E2,-2.850395601E1
2.762938820E2,-2.924182677E1
2.764009093E2,-3.046565774E1
2.765105425E2,-2.872989990E1
2.766198295E2,-2.936506333E1
2.767270985E2,-2.503215921E1
2.768355485E2,-2.953117155E1
2.769438050E2,-2.910266396E1
2.770521948E2,-2.774965424E1
2.771604760E2,-2.791048810E1
2.772689108E2,-2.965977649E1
2.773772848E2,-3.069208570E1
2.774846169E2,-3.138500828E1
2.775939035E2,-2.789551973E1
2.777032618E2,-2.496794154E1
2.778106126E2,-2.591556478E1
2.779188596E2,-2.710260193E1
2.780272137E2,-2.588732581E1
2.781311345E2,-2.852197158E1
2.782422580E2,-2.801320634E1
2.783438719E2,-2.850836007E1
2.784493228E2,-2.813001949E1
2.785522106E2,-2.475437491E1
2.786605605E2,-2.549866483E1
2.787630635E2,-2.733952916E1
2.788689015E2,-2.831355125E1
2.789772076E2,-2.514152965E1
2.790855501E2,-2.731204149E1
2.791938267E2,-2.646077903E1
2.793023582E2,-2.314945441E1
2.794105060E2,-2.677026701E1
2.795188550E2,-2.256421298E1
2.796271305E2,-2.107624209E1
2.797365115E2,-2.091783672E1
2.798438273E2,-2.378401716E1
2.799522142E2,-2.408614716E1
2.800604799E2,-2.065894834E1
2.801688754E2,-2.046792911E1
2.802771514E2,-2.405059901E1
2.803855540E2,-1.920294887E1
2.804938125E2,-1.561522297E1
2.805990890E2,-1.926995362E1
2.807020793E2,-2.192233210E1
2.808106429E2,-2.576033739E1
2.809175776E2,-2.344923451E1
2.810272073E2,-2.353393441E1
2.811355623E2,-2.249515207E1
2.812438954E2,-2.014477382E1
2.813522065E2,-2.512562947E1
2.814606004E2,-2.414715597E1
2.815622423E2,-2.284576656E1
2.816643040E2,-2.297511715E1
2.817733657E2,-2.288685827E1
2.818772075E2,-2.476967607E1
2.819883747E2,-2.281451043E1
2.820938795E2,-2.592613997E1
2.822022600E2,-2.185688338E1
2.823105594E2,-2.395695533E1
2.824188689E2,-2.515220387E1
2.825271967E2,-2.664739009E1
2.826344864E2,-2.304699327E1
2.827438424E2,-2.458340886E1
2.828465755E2,-2.586052084E1
2.829540150E2,-2.273583623E1
2.830604826E2,-2.606464956E1
2.831658270E2,-2.274561842E1
2.832689213E2,-2.434856828E1
2.833771486E2,-1.880682720E1
2.834855803E2,-2.442644089E1
2.835937899E2,-2.007058158E1
2.837049459E2,-1.972821099E1
2.838105408E2,-1.978750798E1
2.839217853E2,-2.035224769E1
2.840319689E2,-1.881078503E1
2.841355165E2,-2.055498699E1
2.842439411E2,-2.278710794E1
2.843522090E2,-1.913629392E1
2.844605493E2,-2.060940454E1
2.845622497E2,-1.399574734E1
2.846721376E2,-1.045360069E1
2.847772636E2,-1.540539252E1
2.848855367E2,-1.689531946E1
2.849938775E2,-1.348925169E1
2.851023191E2,-1.678673003E1
2.852105966E2,-1.862322080E1
2.853192354E2,-2.138987764E1
2.854271647E2,-2.326260705E1
2.855325405E2,-2.437203194E1
2.856355436E2,-2.417859603E1
2.857438836E2,-2.007326377E1
2.858521899E2,-2.188713020E1
2.859605036E2,-1.488733354E1
2.860629816E2,-1.898507564E1
2.861725918E2,-1.139669016E1
2.862772070E2,-8.910518391E0
2.863855448E2,-1.320451095E1
2.864938046E2,-1.080144375E1
2.866005920E2,-1.283802065E1
2.867105616E2,-1.875940485E1
2.868189330E2,-1.464861312E1
2.869271465E2,-2.115850636E1
2.870365392E2,-2.046387215E1
2.871438368E2,-1.660026880E1
2.872498959E2,-2.441427942E1
2.873605847E2,-1.910173357E1
2.874685605E2,-2.180017898E1
2.875772496E2,-1.063850052E1
2.876872158E2,-1.993483264E1
2.877939967E2,-1.244552461E1
2.879006093E2,-1.260660659E1
2.880106490E2,-1.528616699E1
2.881188998E2,-1.532493986E1
2.882271880E2,-1.351483585E1
2.883337668E2,-1.333299510E1
2.884438853E2,-2.048997062E1
2.885531253E2,-1.422577958E1
2.886605045E2,-1.861713278E1
2.887652408E2,-2.346715407E1
2.888763807E2,-2.356052599E1
2.889865023E2,-2.141855717E1
2.890938610E2,-2.254159241E1
2.892028578E2,-2.344222418E1
2.893105704E2,-2.216309010E1
2.894185577E2,-2.638357936E1
2.895271570E2,-2.324517898E1
2.896309454E2,-2.651087892E1
2.897331237E2,-2.589969244E1
2.898437492E2,-2.626113675E1
2.899522058E2,-2.353664580E1
2.900604729E2,-2.369505195E1
2.901716519E2,-2.535080877E1
2.902772147E2,-1.817978897E1
2.903855519E2,-2.329916322E1
2.904938100E2,-2.478350426E1
2.906022906E2,-2.470204118E1
2.907110331E2,-2.355746578E1
2.908125770E2,-2.476052435E1
2.909189143E2,-2.405232286E1
2.910272073E2,-2.438712295E1
2.911348051E2,-2.136892487E1
2.912439141E2,-2.011864147E1
2.913532151E2,-2.150283520E1
2.914605217E2,-2.254555691E1
2.915689197E2,-2.195955620E1
2.916771877E2,-1.915867647E1
2.917856084E2,-2.193929754E1
2.918939071E2,-2.153567137E1
2.920022208E2,-2.005023867E1
2.921105840E2,-2.257892871E1
2.922193722E2,-2.000211129E1
2.923272153E2,-1.957734751E1
2.924354993E2,-2.278384102E1
2.925439762E2,-1.772377729E1
2.926522774E2,-1.954579184E1
2.927605375E2,-1.980383446E1
2.928689963E2,-2.205015835E1
2.929778977E2,-1.851198342E1
2.930890736E2,-2.035938789E1
2.931980587E2,-1.882200702E1
2.933022225E2,-1.833598717E1
2.934106574E2,-2.380840971E1
2.935189940E2,-1.910047186E1
2.936272448E2,-1.762682852E1
2.937319714E2,-2.035575227E1
2.938355962E2,-2.052942296E1
2.939439393E2,-1.957479682E1
2.940491549E2,-1.690732522E1
