"Time (s)","Sound pressure level (dB)"
7.225485757E2,-1.342661437E1
7.226565256E2,-1.508729005E1
7.227652185E2,-1.706285730E1
7.228744840E2,-1.594279008E1
7.229818958E2,-1.737934849E1
7.230902627E2,-1.522567523E1
7.231985442E2,-1.499024221E1
7.233044927E2,-1.255092729E1
7.234152755E2,-1.440519161E1
7.235236186E2,-1.599388321E1
7.236328938E2,-1.686136982E1
7.237440429E2,-1.270243450E1
7.238486196E2,-1.649131051E1
7.239500158E2,-1.115792524E1
7.240566777E2,-1.172918116E1
7.241652165E2,-1.360517793E1
7.242756789E2,-1.298584609E1
7.243818469E2,-1.634385024E1
7.244927163E2,-1.457176855E1
7.245985875E2,-1.437913411E1
7.247077004E2,-1.395025953E1
7.248152796E2,-1.255536567E1
7.249235618E2,-1.714754455E1
7.250319151E2,-1.643513408E1
7.251402456E2,-1.426014781E1
7.252496315E2,-1.608480308E1
7.253580134E2,-1.416589647E1
7.254652323E2,-1.772057650E1
7.255735732E2,-1.777410773E1
7.256819089E2,-1.665355625E1
7.257902392E2,-1.687968689E1
7.258985796E2,-1.895255982E1
7.260069282E2,-1.923136681E1
7.261153100E2,-1.839007331E1
7.262220751E2,-1.884298835E1
7.263319097E2,-1.873030364E1
7.264402437E2,-1.893346130E1
7.265485466E2,-1.618090942E1
7.266596807E2,-1.562713321E1
7.267651654E2,-1.586183088E1
7.268744760E2,-1.864268882E1
7.269818654E2,-1.846326314E1
7.270902442E2,-1.693354793E1
7.271985709E2,-1.425468215E1
7.273032283E2,-1.828361739E1
7.274123130E2,-1.840078848E1
7.275200694E2,-1.736693442E1
7.276311683E2,-1.512719094E1
7.277392626E2,-1.544822157E1
7.278487154E2,-1.498174661E1
7.279569138E2,-1.813584158E1
7.280652685E2,-1.557120568E1
7.281740202E2,-1.465199916E1
7.282819295E2,-1.574097735E1
7.283902666E2,-1.543192354E1
7.284986247E2,-1.662738029E1
7.286034347E2,-1.652326519E1
7.287115785E2,-1.585476453E1
7.288152847E2,-1.624832291E1
7.289235614E2,-1.664678565E1
7.290318653E2,-1.878315264E1
7.291336893E2,-1.842165075E1
7.292349789E2,-1.670144156E1
7.293367119E2,-1.700078425E1
7.294433502E2,-1.634089692E1
7.295485527E2,-1.884555811E1
7.296551567E2,-1.894105318E1
7.297652280E2,-1.931524938E1
7.298735712E2,-1.722667265E1
7.299818895E2,-1.656420236E1
7.300891406E2,-1.997861396E1
7.301985533E2,-2.011267456E1
7.303069586E2,-1.933430878E1
7.304152089E2,-1.950177498E1
7.305212211E2,-1.730744612E1
7.306318169E2,-1.844603685E1
7.307411907E2,-2.128055535E1
7.308485784E2,-1.770227648E1
7.309569131E2,-1.574919036E1
7.310651782E2,-1.610503901E1
7.311711700E2,-1.857144840E1
7.312819942E2,-1.927924501E1
7.313928913E2,-1.799867546E1
7.314985912E2,-1.699114746E1
7.316069011E2,-1.699337331E1
7.317152655E2,-1.579118513E1
7.318185558E2,-1.784855087E1
7.319236341E2,-1.605986845E1
7.320319218E2,-1.605528952E1
7.321362916E2,-1.510192152E1
7.322374071E2,-1.688431071E1
7.323402769E2,-1.549512233E1
7.324490249E2,-1.526801483E1
7.325534915E2,-1.674177114E1
7.326569311E2,-1.331182905E1
7.327652819E2,-1.512829528E1
7.328744988E2,-1.625521776E1
7.329819412E2,-1.384110206E1
7.330848041E2,-1.550431034E1
7.331902372E2,-1.595587165E1
7.332985690E2,-1.570979235E1
7.334069402E2,-1.508524100E1
7.335153316E2,-1.478355837E1
7.336247026E2,-1.534227669E1
7.337319255E2,-1.506890647E1
7.338402560E2,-1.804746224E1
7.339485445E2,-1.700084780E1
7.340569448E2,-1.585986513E1
7.341652773E2,-1.705822420E1
7.342754497E2,-1.485289427E1
7.343819281E2,-1.394530745E1
7.344879902E2,-1.714696464E1
7.345986063E2,-1.535418215E1
7.347069178E2,-1.610047473E1
7.348153366E2,-1.660833717E1
7.349264467E2,-1.529533916E1
7.350319161E2,-1.745152531E1
7.351346073E2,-2.048500731E1
7.352437059E2,-1.558101924E1
7.353486074E2,-1.424259180E1
7.354571754E2,-1.529434935E1
7.355652487E2,-1.924435460E1
7.356707882E2,-1.646777996E1
7.357819624E2,-1.248182796E1
7.358836208E2,-1.506702717E1
7.359933562E2,-1.407509531E1
7.360985423E2,-1.296449695E1
7.362092976E2,-1.404763952E1
7.363152424E2,-1.380396180E1
7.364193677E2,-1.350902493E1
7.365305116E2,-1.484609785E1
7.366318375E2,-1.604008573E1
7.367402190E2,-1.361586727E1
7.368485756E2,-1.531625956E1
7.369526665E2,-1.322249726E1
7.370612351E2,-1.588493760E1
7.371651858E2,-1.599330294E1
7.372757777E2,-1.453608302E1
7.373867472E2,-1.401675394E1
7.374978821E2,-1.318552388E1
7.376069297E2,-1.288781414E1
7.377151803E2,-1.451291267E1
7.378246018E2,-1.606564387E1
7.379317883E2,-1.545309761E1
7.380429034E2,-1.502468584E1
7.381486716E2,-1.612174425E1
7.382563830E2,-1.543262675E1
7.383652750E2,-1.572182316E1
7.384697337E2,-1.777504700E1
7.385775220E2,-1.624296760E1
7.386819291E2,-1.693109534E1
7.387857959E2,-1.423028891E1
7.388912490E2,-1.089018100E1
7.389985749E2,-1.260655415E1
7.391045317E2,-1.506523994E1
7.392152666E2,-1.648013420E1
7.393207125E2,-1.581391057E1
7.394273227E2,-1.677340805E1
7.395318750E2,-1.622885883E1
7.396419762E2,-1.571978098E1
7.397485864E2,-1.643432342E1
7.398569356E2,-1.669306915E1
7.399652703E2,-1.678951898E1
7.400763955E2,-1.799135878E1
7.401820027E2,-1.494101290E1
7.402876350E2,-1.537765493E1
7.403986323E2,-1.491861587E1
7.405046680E2,-1.677691353E1
7.406157807E2,-1.545755943E1
7.407241137E2,-1.741947459E1
7.408319042E2,-1.542961515E1
7.409402739E2,-1.567738233E1
7.410485396E2,-1.480490757E1
7.411569300E2,-1.465262871E1
7.412652642E2,-1.380665912E1
7.413740590E2,-1.684092449E1
7.414819361E2,-1.610269568E1
7.415907552E2,-1.462396785E1
7.416985991E2,-1.396131678E1
7.418060165E2,-1.489062393E1
7.419123272E2,-1.374362965E1
7.420152945E2,-1.538938689E1
7.421241090E2,-1.648984277E1
7.422319164E2,-1.533896732E1
7.423402670E2,-1.495392567E1
7.424485712E2,-1.610535223E1
7.425569196E2,-1.688061329E1
7.426652412E2,-1.488292286E1
7.427736030E2,-1.597129546E1
7.428836322E2,-1.536162910E1
7.429947972E2,-1.516173043E1
7.430986027E2,-1.592528770E1
7.432097647E2,-1.795142202E1
7.433123487E2,-1.603045611E1
7.434153171E2,-1.583386873E1
7.435240605E2,-1.634944905E1
7.436351751E2,-1.714997014E1
7.437463084E2,-1.750429779E1
7.438569491E2,-1.575735122E1
7.439611427E2,-1.858691602E1
7.440652667E2,-1.653258262E1
7.441739794E2,-1.902858927E1
7.442819637E2,-1.966195898E1
7.443927478E2,-1.817752963E1
7.444986015E2,-1.780451974E1
7.446094475E2,-1.620024781E1
7.447199783E2,-1.842021146E1
7.448260913E2,-1.692517753E1
7.449366132E2,-1.605388115E1
7.450427690E2,-1.861274868E1
7.451524361E2,-1.661310925E1
7.452605305E2,-1.609121425E1
7.453699829E2,-1.673862353E1
7.454760902E2,-1.539206986E1
7.455850184E2,-1.619751099E1
7.456927706E2,-1.535871645E1
7.457986335E2,-1.486835858E1
7.459094297E2,-1.547535354E1
7.460170482E2,-1.571586720E1
7.461260922E2,-1.393932234E1
7.462319220E2,-1.738625085E1
7.463427396E2,-1.454920228E1
7.464486205E2,-1.332100711E1
7.465594032E2,-1.416329080E1
7.466670982E2,-1.410113485E1
7.467760925E2,-1.424838113E1
7.468836639E2,-1.467284599E1
7.469927710E2,-1.342666430E1
7.471019560E2,-1.392810284E1
7.472114745E2,-1.444028698E1
7.473153518E2,-1.526667650E1
7.474261154E2,-1.598971294E1
7.475319265E2,-1.649527366E1
7.476427505E2,-1.663262220E1
7.477485384E2,-1.422040919E1
7.478594070E2,-1.579968767E1
7.479686341E2,-1.703125839E1
7.480761010E2,-1.832753712E1
7.481867647E2,-1.667054365E1
7.482927978E2,-1.769631266E1
7.483986195E2,-1.654431650E1
7.485094625E2,-1.738016936E1
7.486188134E2,-1.704938981E1
7.487261046E2,-1.795724171E1
7.488319761E2,-1.885118296E1
7.489427427E2,-1.804114107E1
7.490485733E2,-1.709946907E1
7.491594165E2,-1.846602841E1
7.492652750E2,-1.801446920E1
7.493761121E2,-1.587044969E1
7.494819513E2,-1.808562132E1
7.495927927E2,-1.779998660E1
7.497018884E2,-1.611860688E1
7.498118626E2,-1.770505687E1
7.499152909E2,-1.758259806E1
7.500261212E2,-1.544614894E1
7.501319172E2,-1.576281681E1
7.502427434E2,-1.723198779E1
7.503533757E2,-1.534064578E1
7.504594233E2,-1.487277674E1
7.505652851E2,-1.499016100E1
7.506761004E2,-1.521578828E1
7.507819333E2,-1.555876538E1
7.508927633E2,-1.473524345E1
7.509985869E2,-1.596893722E1
7.511094450E2,-1.663466789E1
7.512152718E2,-1.467095358E1
7.513240735E2,-1.632899348E1
7.514319109E2,-1.492878695E1
7.515407440E2,-1.379516155E1
7.516486087E2,-1.309502012E1
7.517574553E2,-1.823229707E1
7.518652931E2,-1.759179028E1
7.519740791E2,-1.720943641E1
7.520819427E2,-1.835723891E1
7.521907647E2,-1.726524824E1
7.522986912E2,-1.780151124E1
7.524074417E2,-1.614652686E1
7.525157943E2,-1.902934548E1
7.526240813E2,-1.695257431E1
7.527319096E2,-1.842140334E1
7.528407377E2,-1.653611666E1
7.529485889E2,-1.878945904E1
7.530574000E2,-1.605119865E1
7.531652854E2,-1.626170968E1
7.532740577E2,-1.760761344E1
7.533819064E2,-1.807910312E1
7.534907727E2,-1.593376155E1
7.535986063E2,-1.963307188E1
7.537074432E2,-1.428470475E1
7.538153003E2,-1.680980514E1
7.539240596E2,-1.513821306E1
7.540319158E2,-1.609227169E1
7.541407378E2,-1.661447760E1
7.542486085E2,-1.507240644E1
7.543574266E2,-1.614294377E1
7.544653138E2,-1.643932753E1
7.545740906E2,-1.483696568E1
7.546819383E2,-1.498240461E1
7.547907459E2,-1.660931073E1
7.548986030E2,-1.590448794E1
7.550074066E2,-1.724606786E1
7.551153280E2,-1.682406536E1
7.552241210E2,-1.726062289E1
7.553319341E2,-1.760155623E1
7.554407355E2,-1.659622094E1
7.555485784E2,-1.706078745E1
7.556591382E2,-1.800284575E1
7.557652517E2,-1.766359998E1
7.558735769E2,-1.835093051E1
7.559824180E2,-1.815893216E1
7.560837461E2,-1.874525981E1
7.561914176E2,-2.004960888E1
7.562986196E2,-1.928085153E1
7.564069855E2,-1.893276189E1
7.565152620E2,-2.147614756E1
7.566235447E2,-1.287687977E1
7.567318798E2,-1.778764741E1
7.568402704E2,-1.800652340E1
7.569485439E2,-1.745567392E1
7.570510227E2,-1.898524952E1
7.571526858E2,-1.791123748E1
7.572638189E2,-1.838577053E1
7.573736252E2,-1.758825742E1
7.574819843E2,-1.761011336E1
7.575903437E2,-1.767352566E1
7.576989776E2,-1.774498964E1
7.578001144E2,-1.730382531E1
7.579069499E2,-1.594781188E1
7.580157298E2,-1.726338690E1
7.581169065E2,-1.640223987E1
7.582235787E2,-1.675511567E1
7.583308212E2,-1.563226409E1
7.584418091E2,-1.637244971E1
7.585485831E2,-1.697289950E1
7.586569612E2,-1.609081657E1
7.587652486E2,-1.619456722E1
7.588744908E2,-1.609577820E1
7.589835214E2,-1.670513861E1
7.590862502E2,-1.674709878E1
7.591888318E2,-1.668885604E1
7.592985923E2,-1.753069092E1
7.594003707E2,-1.742498340E1
7.595069380E2,-1.785679487E1
7.596174255E2,-1.761436697E1
7.597285405E2,-1.636651341E1
7.598368072E2,-1.790997990E1
7.599380265E2,-1.652047693E1
7.600485968E2,-1.664278818E1
7.601569385E2,-1.721285379E1
7.602652273E2,-1.976475658E1
7.603736075E2,-1.917840885E1
7.604819151E2,-1.986460562E1
7.605899482E2,-2.115474728E1
7.606985595E2,-1.976907118E1
7.608047933E2,-2.003538969E1
7.609152208E2,-2.113450149E1
7.610262140E2,-2.054981810E1
7.611329148E2,-1.604980254E1
7.612397507E2,-1.759422404E1
7.613485640E2,-1.582897563E1
7.614569022E2,-1.735812105E1
7.615652270E2,-1.711598607E1
7.616716098E2,-1.725856935E1
7.617818935E2,-1.711616862E1
7.618836059E2,-1.603845048E1
7.619872843E2,-1.614505627E1
7.620902340E2,-1.629229639E1
7.621984790E2,-1.552511975E1
7.623026953E2,-1.504561294E1
7.624123324E2,-1.506247979E1
7.625152981E2,-1.534695417E1
7.626235957E2,-1.474711912E1
7.627319219E2,-1.491049415E1
7.628406031E2,-1.415296281E1
7.629496838E2,-1.538209804E1
7.630507968E2,-1.529454044E1
7.631567086E2,-1.570785760E1
7.632652272E2,-1.562242352E1
7.633739245E2,-1.495252398E1
7.634819485E2,-1.518331454E1
7.635902072E2,-1.689433638E1
7.636986270E2,-1.631625475E1
7.638029821E2,-1.549642647E1
7.639122792E2,-1.648018294E1
7.640151795E2,-1.670547837E1
7.641236291E2,-1.906898060E1
7.642347692E2,-1.806478140E1
7.643458144E2,-1.712676970E1
7.644533053E2,-1.912320674E1
7.645601180E2,-1.961769946E1
7.646684355E2,-1.781591745E1
7.647782618E2,-2.227749252E1
7.648836356E2,-1.928450502E1
7.649948018E2,-2.053582610E1
7.650985933E2,-2.015166452E1
7.652086139E2,-1.914282474E1
7.653153063E2,-1.891472842E1
7.654240420E2,-1.958337519E1
7.655319163E2,-1.875271182E1
7.656402300E2,-1.819554239E1
7.657486006E2,-1.918259385E1
7.658569170E2,-1.848021361E1
7.659652337E2,-1.702726757E1
7.660692244E2,-1.719384980E1
7.661793875E2,-1.777334060E1
7.662818647E2,-1.710623398E1
7.663929266E2,-1.579105381E1
7.664985482E2,-1.602510157E1
7.666042610E2,-1.624828336E1
7.667152696E2,-1.493208303E1
7.668186650E2,-1.516862668E1
7.669260446E2,-1.436875818E1
7.670319154E2,-1.493221334E1
7.671427737E2,-1.531864198E1
7.672486728E2,-1.473371604E1
7.673594430E2,-1.539926664E1
7.674652707E2,-1.566500560E1
7.675760374E2,-1.499272040E1
7.676819120E2,-1.502495383E1
7.677907553E2,-1.537337839E1
7.678985656E2,-1.471019091E1
7.680094481E2,-1.610988221E1
7.681153582E2,-1.671672640E1
7.682261907E2,-1.589771991E1
7.683319201E2,-1.651661177E1
7.684427546E2,-1.576724580E1
7.685485866E2,-1.783938425E1
7.686594293E2,-1.630329882E1
7.687652758E2,-1.745429210E1
7.688760985E2,-1.795913095E1
7.689819505E2,-1.908772928E1
7.690928078E2,-1.906750255E1
7.691986225E2,-1.840162335E1
7.693094822E2,-2.018788429E1
7.694153159E2,-2.062332813E1
7.695261290E2,-1.749132610E1
7.696319169E2,-1.759968706E1
7.697427475E2,-1.814220626E1
7.698513539E2,-1.948627082E1
7.699593633E2,-1.888840725E1
7.700653062E2,-1.844517616E1
7.701760908E2,-1.939416100E1
7.702820373E2,-1.852715129E1
7.703928075E2,-1.730668450E1
7.705011228E2,-1.789289762E1
7.706116187E2,-1.766114885E1
7.707153315E2,-1.692958302E1
7.708261163E2,-1.674961552E1
7.709319012E2,-1.524514132E1
7.710407526E2,-1.648173898E1
7.711486021E2,-1.631391690E1
7.712574285E2,-1.598782701E1
7.713652708E2,-1.531905404E1
7.714740822E2,-1.604775274E1
7.715819539E2,-1.565605024E1
7.716907508E2,-1.504493218E1
7.717986335E2,-1.445901107E1
7.719074710E2,-1.488017279E1
7.720153007E2,-1.521363998E1
7.721240758E2,-1.496374789E1
7.722319277E2,-1.516903619E1
7.723407516E2,-1.563717844E1
7.724485927E2,-1.575836482E1
7.725574127E2,-1.440359649E1
7.726652600E2,-1.572564011E1
7.727740924E2,-1.534817948E1
7.728836362E2,-1.567395076E1
7.729906512E2,-1.428046011E1
7.730985325E2,-1.593534121E1
7.732074437E2,-1.679946942E1
7.733152848E2,-1.662490819E1
7.734240545E2,-1.726071278E1
7.735319584E2,-1.733443880E1
7.736407483E2,-1.810642667E1
7.737486034E2,-1.758724524E1
7.738574222E2,-1.800143559E1
7.739652692E2,-1.763986417E1
7.740740766E2,-1.795515175E1
7.741818995E2,-1.815056215E1
7.742907800E2,-1.971430108E1
7.743991405E2,-1.862105870E1
7.745074343E2,-1.774302393E1
7.746153110E2,-1.966545618E1
7.747240587E2,-1.993337735E1
7.748319120E2,-1.946845783E1
7.749407258E2,-1.953115773E1
7.750486240E2,-1.879908546E1
7.751573952E2,-1.972084167E1
7.752658278E2,-1.745034362E1
7.753768172E2,-1.866034065E1
7.754886436E2,-1.751300593E1
7.755986042E2,-1.783755809E1
7.757069703E2,-1.522266088E1
7.758153615E2,-1.342205746E1
7.759245904E2,-1.411770643E1
7.760318974E2,-1.251690707E1
7.761429363E2,-1.605882026E1
7.762486277E2,-1.598456824E1
7.763524495E2,-1.658243396E1
7.764569080E2,-1.601554832E1
7.765652403E2,-1.605254321E1
7.766763407E2,-1.550078227E1
7.767819376E2,-1.613091097E1
7.768836054E2,-1.592047976E1
7.769935457E2,-1.571209251E1
7.770985989E2,-1.563964106E1
7.772069453E2,-1.683424748E1
7.773152747E2,-1.647717781E1
7.774219782E2,-1.593558999E1
7.775318452E2,-1.706193206E1
7.776402355E2,-1.720589372E1
7.777485277E2,-1.708469600E1
7.778566520E2,-1.760263639E1
7.779651551E2,-1.681257273E1
7.780694809E2,-1.758139006E1
7.781736444E2,-1.763309396E1
7.782818726E2,-1.803559440E1
7.783902661E2,-1.767408947E1
7.784985063E2,-1.965634248E1
7.786007222E2,-1.854945134E1
7.787102497E2,-1.907562142E1
7.788152219E2,-1.938933549E1
7.789191246E2,-2.019990633E1
7.790270374E2,-2.053027148E1
7.791319275E2,-2.064433001E1
7.792352234E2,-2.122462832E1
7.793389586E2,-2.164459440E1
7.794486297E2,-2.145641396E1
7.795552551E2,-2.032900943E1
7.796652609E2,-2.030899801E1
7.797735819E2,-1.996881334E1
7.798836166E2,-2.007656656E1
7.799903037E2,-2.056112144E1
7.800984845E2,-2.011170570E1
7.802091823E2,-1.704180582E1
7.803152612E2,-1.852213483E1
7.804236460E2,-1.842333185E1
7.805318832E2,-1.808596322E1
7.806402413E2,-1.732745524E1
7.807485440E2,-1.759557165E1
7.808551945E2,-1.655423782E1
7.809652280E2,-1.690079694E1
7.810735699E2,-1.667197415E1
7.811818880E2,-1.697702732E1
7.812902850E2,-1.630558977E1
7.813985151E2,-1.585542704E1
7.815069288E2,-1.665753727E1
7.816151916E2,-1.609757298E1
7.817231714E2,-1.702866727E1
7.818318491E2,-1.614159322E1
7.819402490E2,-1.540651430E1
7.820484936E2,-1.581275607E1
7.821578953E2,-1.586825481E1
7.822652749E2,-1.626405824E1
7.823736000E2,-1.650982173E1
7.824819667E2,-1.808366996E1
7.825930102E2,-1.763889126E1
7.826985900E2,-1.663115573E1
7.828069522E2,-1.758063811E1
7.829152849E2,-1.738505542E1
7.830219523E2,-1.815800626E1
7.831319120E2,-1.785958156E1
7.832391288E2,-1.753961196E1
7.833486462E2,-1.794433051E1
7.834526824E2,-1.738064116E1
7.835636093E2,-1.773109023E1
7.836652570E2,-1.950120084E1
7.837735921E2,-1.856262080E1
7.838835708E2,-2.031479326E1
7.839881551E2,-1.928440552E1
7.840986646E2,-1.881153129E1
7.842069368E2,-2.162881485E1
7.843153358E2,-1.947097914E1
7.844216135E2,-2.055274348E1
7.845318975E2,-1.663168229E1
7.846360444E2,-1.938374478E1
7.847471826E2,-1.918020136E1
7.848551968E2,-1.911375094E1
7.849652236E2,-1.856879273E1
7.850736092E2,-1.685049060E1
7.851819208E2,-1.625135803E1
7.852902544E2,-1.727460838E1
7.853986093E2,-1.623472096E1
7.855069892E2,-1.767424840E1
7.856152731E2,-1.801324757E1
7.857235944E2,-1.600192901E1
7.858319217E2,-1.517830451E1
7.859426815E2,-1.545256210E1
7.860485489E2,-1.790765131E1
7.861594076E2,-1.382740510E1
