"Time (s)","Sound pressure level (dB)"
2.509411209E2,-1.337579407E1
2.510499091E2,-1.298079237E1
2.511577251E2,-1.359000690E1
2.512665661E2,-1.371053634E1
2.513744122E2,-1.365869489E1
2.514832247E2,-1.376905485E1
2.515910620E2,-1.472526637E1
2.516998936E2,-1.572382978E1
2.518078072E2,-1.506497244E1
2.519165721E2,-1.689686639E1
2.520244383E2,-1.526876588E1
2.521331934E2,-1.603981300E1
2.522410770E2,-1.545304934E1
2.523498928E2,-1.799776357E1
2.524577250E2,-1.620873201E1
2.525665628E2,-1.584714127E1
2.526744136E2,-1.699931732E1
2.527832174E2,-1.602469182E1
2.528928048E2,-1.607921273E1
2.529999303E2,-1.671115864E1
2.531077994E2,-1.519502844E1
2.532166163E2,-1.517818144E1
2.533244623E2,-1.514518628E1
2.534331930E2,-1.582184750E1
2.535410468E2,-1.467849370E1
2.536498643E2,-1.702582239E1
2.537577502E2,-1.651718207E1
2.538665697E2,-1.518402775E1
2.539743954E2,-1.486680882E1
2.540832260E2,-1.557457093E1
2.541910603E2,-1.615078132E1
2.542994642E2,-1.428635481E1
2.544088399E2,-1.567346043E1
2.545110938E2,-1.422016283E1
2.546214556E2,-1.276616837E1
2.547290679E2,-1.263102837E1
2.548402095E2,-1.260076245E1
2.549475136E2,-1.597657434E1
2.550577272E2,-1.604999762E1
2.551657664E2,-1.606535438E1
2.552765588E2,-1.306419418E1
2.553842911E2,-1.464514658E1
2.554910572E2,-1.068528019E1
2.555993884E2,-1.299060051E1
2.557076978E2,-1.516987429E1
2.558161181E2,-1.448140549E1
2.559244289E2,-1.312629480E1
2.560326973E2,-1.449454335E1
2.561410420E2,-1.295852171E1
2.562493952E2,-1.484922972E1
2.563577287E2,-1.675834131E1
2.564630453E2,-1.726658974E1
2.565685683E2,-1.474998300E1
2.566743698E2,-1.547297291E1
2.567855015E2,-1.577869444E1
2.568920574E2,-1.557536241E1
2.569980694E2,-1.828149238E1
2.571076688E2,-1.742679247E1
2.572144316E2,-1.655746056E1
2.573243786E2,-1.699738350E1
2.574292855E2,-1.487495856E1
2.575327117E2,-1.602052381E1
2.576409527E2,-1.529901384E1
2.577494030E2,-1.574525777E1
2.578578192E2,-1.578116992E1
2.579671417E2,-1.609837907E1
2.580743940E2,-1.499613186E1
2.581819453E2,-1.472362828E1
2.582910956E2,-1.597246416E1
2.583993648E2,-1.280191643E1
2.585077722E2,-1.081949879E1
2.586135658E2,-1.313634931E1
2.587244202E2,-1.358342713E1
2.588276819E2,-1.340955736E1
2.589377233E2,-1.499439346E1
2.590410393E2,-1.471363473E1
2.591510135E2,-1.432458403E1
2.592618878E2,-1.710372056E1
2.593730495E2,-1.436933053E1
2.594802454E2,-1.428425423E1
2.595910585E2,-1.577592272E1
2.596985253E2,-1.737759571E1
2.598076991E2,-1.302815187E1
2.599169265E2,-1.302391407E1
2.600243852E2,-1.412724881E1
2.601327110E2,-1.374690872E1
2.602409899E2,-1.511333551E1
2.603485357E2,-1.479251315E1
2.604576732E2,-1.209399108E1
2.605672959E2,-1.134991905E1
2.606743448E2,-1.581491681E1
2.607830243E2,-1.568442545E1
2.608927572E2,-1.591627224E1
2.609994332E2,-1.419214716E1
2.611077828E2,-1.729693390E1
2.612116436E2,-1.755135451E1
2.613215163E2,-1.353490298E1
2.614306168E2,-1.453998992E1
2.615410635E2,-1.372368178E1
2.616467310E2,-1.366541270E1
2.617577211E2,-1.394525395E1
2.618641204E2,-1.493392836E1
2.619743960E2,-1.369728304E1
2.620830113E2,-1.178774995E1
2.621910549E2,-1.256635870E1
2.623009210E2,-1.459878328E1
2.624077197E2,-1.528255955E1
2.625110583E2,-1.331214418E1
2.626215001E2,-1.271682135E1
2.627244495E2,-1.373866393E1
2.628327166E2,-1.381201910E1
2.629410015E2,-1.607215433E1
2.630506397E2,-1.523966858E1
2.631576904E2,-1.348953086E1
2.632660648E2,-1.088542790E1
2.633743648E2,-1.357070588E1
2.634779435E2,-1.554958721E1
2.635878800E2,-1.655062756E1
2.636910211E2,-1.648455877E1
2.638019092E2,-1.517105422E1
2.639129334E2,-1.665501631E1
2.640214565E2,-1.459035931E1
2.641304678E2,-1.435597246E1
2.642410680E2,-1.641863298E1
2.643518693E2,-1.312058367E1
2.644577275E2,-1.542478835E1
2.645685376E2,-1.262502425E1
2.646743824E2,-1.257644224E1
2.647852118E2,-1.195528869E1
2.648927686E2,-1.416463053E1
2.650018896E2,-1.496800980E1
2.651077625E2,-1.578270374E1
2.652185984E2,-1.243829870E1
2.653271081E2,-1.126079745E1
2.654352128E2,-1.075733040E1
2.655410525E2,-1.434501596E1
2.656518755E2,-1.348104178E1
2.657577128E2,-1.377875087E1
2.658685725E2,-1.408417990E1
2.659777105E2,-1.435231058E1
2.660852188E2,-1.324291339E1
2.661910601E2,-1.355438193E1
2.663018934E2,-1.431117628E1
2.664077604E2,-1.321702443E1
2.665185708E2,-1.124145211E1
2.666244655E2,-1.020001698E1
2.667352075E2,-1.149275556E1
2.668452190E2,-1.143120406E1
2.669518703E2,-1.028827176E1
2.670576340E2,-1.152252190E1
2.671660930E2,-1.085771982E1
2.672744185E2,-1.192635064E1
2.673852103E2,-1.367984320E1
2.674910578E2,-1.343866212E1
2.676018899E2,-1.403271023E1
2.677077592E2,-1.286084257E1
2.678185692E2,-1.298056467E1
2.679244310E2,-1.434920736E1
2.680351871E2,-1.433346227E1
2.681410414E2,-1.439035780E1
2.682518974E2,-1.330925171E1
2.683624846E2,-1.370657120E1
2.684685496E2,-1.557348887E1
2.685774891E2,-1.562686975E1
2.686852252E2,-1.694324613E1
2.687910648E2,-1.410333920E1
2.689018808E2,-1.242662495E1
2.690077881E2,-1.485290564E1
2.691160760E2,-1.228333207E1
2.692245038E2,-1.489119500E1
2.693349950E2,-1.311152464E1
2.694410967E2,-1.609992469E1
2.695435670E2,-1.565216142E1
2.696459049E2,-1.264568348E1
2.697493876E2,-1.676272387E1
2.698578284E2,-1.355235912E1
2.699618157E2,-1.294229981E1
2.700660636E2,-1.447960799E1
2.701743814E2,-1.519503388E1
2.702823792E2,-1.637877801E1
2.703910990E2,-1.396487743E1
2.704940640E2,-1.661413240E1
2.706052902E2,-1.437665482E1
2.707077455E2,-1.504566710E1
2.708188573E2,-1.515382588E1
2.709243571E2,-1.205932591E1
2.710327323E2,-1.322706409E1
2.711409947E2,-1.359171482E1
2.712446702E2,-1.248701272E1
2.713557091E2,-1.266281059E1
2.714577088E2,-1.397989721E1
2.715619823E2,-1.540478078E1
2.716731724E2,-1.381760694E1
2.717827342E2,-1.447107062E1
2.718927593E2,-1.431609461E1
2.719994395E2,-1.609844730E1
2.721076404E2,-1.535196600E1
2.722161448E2,-1.518408617E1
2.723243423E2,-1.513754990E1
2.724313704E2,-1.402499179E1
2.725410810E2,-1.272671880E1
2.726493980E2,-1.403103653E1
2.727578486E2,-1.422718823E1
2.728684996E2,-1.394772751E1
2.729744110E2,-1.366213886E1
2.730852111E2,-1.591796726E1
2.731910585E2,-1.544574802E1
2.733018626E2,-1.489102472E1
2.734077644E2,-1.615806150E1
2.735185662E2,-1.494674528E1
2.736244298E2,-1.595006754E1
2.737352203E2,-1.526406496E1
2.738410459E2,-1.366710670E1
2.739518848E2,-1.459195886E1
2.740582438E2,-1.504948137E1
2.741685457E2,-1.566061058E1
2.742744602E2,-1.441258597E1
2.743852426E2,-1.372123564E1
2.744910580E2,-1.527101236E1
2.746018949E2,-1.543589653E1
2.747077703E2,-1.526134908E1
2.748185630E2,-1.543107735E1
2.749244335E2,-1.666892112E1
2.750352258E2,-1.700283333E1
2.751443627E2,-1.627580086E1
2.752518976E2,-1.716569983E1
2.753577564E2,-1.565118697E1
2.754685908E2,-1.657902166E1
2.755743943E2,-1.748675989E1
2.756852380E2,-1.616197861E1
2.757910707E2,-1.484928767E1
2.759019269E2,-1.653539179E1
2.760100736E2,-1.657516183E1
2.761185746E2,-1.289375499E1
2.762244455E2,-1.489356362E1
2.763352088E2,-1.557700479E1
2.764410488E2,-1.656523965E1
2.765518855E2,-1.606887829E1
2.766577218E2,-1.410387969E1
2.767685546E2,-1.605993154E1
2.768744574E2,-1.598443549E1
2.769852247E2,-1.716843149E1
2.770911065E2,-1.530120929E1
2.772018969E2,-1.667519344E1
2.773115835E2,-1.666019782E1
2.774207424E2,-1.526362293E1
2.775244280E2,-1.523580659E1
2.776352086E2,-1.484455279E1
2.777410643E2,-1.714578523E1
2.778518893E2,-1.558852733E1
2.779577403E2,-1.769189130E1
2.780685890E2,-1.718476773E1
2.781743928E2,-1.721295454E1
2.782852376E2,-1.860136426E1
2.783910433E2,-1.864854163E1
2.785019322E2,-1.506444624E1
2.786116814E2,-1.594295630E1
2.787215048E2,-1.763019771E1
2.788277455E2,-1.682163848E1
2.789352590E2,-1.817372070E1
2.790410728E2,-1.673759717E1
2.791518929E2,-1.650376242E1
2.792582355E2,-1.750439763E1
2.793685430E2,-1.734949275E1
2.794744036E2,-1.687192915E1
2.795852544E2,-1.645463163E1
2.796910671E2,-1.689580695E1
2.798018969E2,-1.586714250E1
2.799078028E2,-1.610963052E1
2.800185720E2,-1.660470508E1
2.801243974E2,-1.661501488E1
2.802352251E2,-1.528821207E1
2.803445786E2,-1.786420210E1
2.804519197E2,-1.654401788E1
2.805577303E2,-1.472511567E1
2.806685558E2,-1.574278149E1
2.807744280E2,-1.782873338E1
2.808852404E2,-1.899917712E1
2.809910795E2,-1.780869551E1
2.811019062E2,-1.865899322E1
2.812077815E2,-1.495801760E1
2.813186354E2,-1.648304510E1
2.814243687E2,-1.803550906E1
2.815352564E2,-1.624103218E1
2.816410638E2,-1.622383504E1
2.817518943E2,-1.647352223E1
2.818577719E2,-1.837808309E1
2.819685840E2,-1.862456709E1
2.820744274E2,-1.369966007E1
2.821852431E2,-1.603724770E1
2.822911131E2,-1.733225252E1
2.824018897E2,-1.840413504E1
2.825077671E2,-1.693558991E1
2.826186268E2,-1.715727514E1
2.827244064E2,-1.769101461E1
2.828352190E2,-1.318649315E1
2.829410829E2,-1.700449036E1
2.830519050E2,-1.597843408E1
2.831577355E2,-1.574941459E1
2.832686199E2,-1.706508126E1
2.833743920E2,-1.765022715E1
2.834852811E2,-1.646801571E1
2.835910843E2,-1.478844329E1
2.837018902E2,-1.803180936E1
2.838077889E2,-1.733024727E1
2.839185719E2,-1.735473720E1
2.840244404E2,-1.628025614E1
2.841352345E2,-1.168498363E1
2.842415651E2,-1.457872123E1
2.843518992E2,-1.790675417E1
2.844577547E2,-1.788937651E1
2.845665769E2,-1.757978905E1
2.846743944E2,-1.834882701E1
2.847843496E2,-1.768432336E1
2.848926170E2,-1.932265261E1
2.849999105E2,-1.783961999E1
2.851077893E2,-1.834509935E1
2.852187235E2,-1.875807423E1
2.853244778E2,-1.864363149E1
2.854331969E2,-1.883811997E1
2.855410580E2,-1.786122377E1
2.856498908E2,-1.855877934E1
2.857577581E2,-1.892918614E1
2.858665683E2,-1.895048602E1
2.859744473E2,-1.778341713E1
2.860832243E2,-1.687690846E1
2.861910799E2,-1.674805214E1
2.862998961E2,-1.711680868E1
2.864077721E2,-1.634904422E1
2.865185425E2,-1.537783778E1
2.866244385E2,-1.577718610E1
2.867352109E2,-1.688934681E1
2.868411138E2,-1.677830276E1
2.869518855E2,-1.463691677E1
2.870577516E2,-1.634627912E1
2.871685508E2,-1.701396345E1
2.872744193E2,-1.617352920E1
2.873852171E2,-1.750054684E1
2.874910802E2,-1.753935104E1
2.876018722E2,-1.675704216E1
2.877126376E2,-1.823412165E1
2.878215311E2,-1.960064485E1
2.879327005E2,-1.646016410E1
2.880410354E2,-1.919370566E1
2.881518241E2,-1.951371170E1
2.882576913E2,-1.893770115E1
2.883685885E2,-1.956152100E1
2.884783917E2,-1.920197549E1
2.885851941E2,-1.912482429E1
2.886950357E2,-1.943071418E1
2.888018768E2,-1.907012521E1
2.889117255E2,-1.837664911E1
2.890214783E2,-1.825122305E1
2.891325635E2,-1.733587535E1
2.892410500E2,-1.680925657E1
2.893518740E2,-1.791739955E1
2.894577151E2,-1.624031466E1
2.895685391E2,-1.614226849E1
2.896743904E2,-1.616671212E1
2.897852062E2,-1.606362646E1
2.898927796E2,-1.375583453E1
2.900019113E2,-1.563387985E1
2.901077631E2,-1.752089247E1
2.902185734E2,-1.705002563E1
2.903244268E2,-1.620493400E1
2.904351892E2,-1.712009006E1
2.905410394E2,-1.706779136E1
2.906518807E2,-1.747582203E1
2.907577173E2,-1.751757615E1
2.908685444E2,-1.529081825E1
2.909743860E2,-1.714306354E1
2.910852093E2,-1.708345644E1
2.911910506E2,-1.666419148E1
2.913018195E2,-1.398858230E1
2.914077400E2,-1.789683042E1
2.915185688E2,-1.836936220E1
2.916244050E2,-1.771876715E1
2.917351950E2,-1.866704634E1
2.918410550E2,-1.750290868E1
2.919518699E2,-1.736746614E1
2.920576483E2,-1.719060383E1
2.921671678E2,-1.759337874E1
2.922744057E2,-1.678913273E1
2.923852346E2,-1.648987364E1
2.924910601E2,-1.662459104E1
2.926018972E2,-1.628473277E1
2.927077351E2,-1.533880364E1
2.928185707E2,-1.675758168E1
2.929243672E2,-1.579976358E1
2.930351950E2,-1.646404137E1
2.931410581E2,-1.669972891E1
2.932518820E2,-1.659652423E1
2.933577495E2,-1.666148501E1
2.934685512E2,-1.738711786E1
2.935743831E2,-1.698970013E1
2.936852197E2,-1.700752456E1
2.937910600E2,-1.637174842E1
2.939018727E2,-1.698092953E1
2.940077868E2,-1.696883103E1
2.941185798E2,-1.663867072E1
2.942243739E2,-1.628601532E1
2.943351992E2,-1.716079369E1
2.944410581E2,-1.672941999E1
2.945518768E2,-1.614183627E1
2.946577578E2,-1.761151994E1
2.947685393E2,-1.716559050E1
2.948743598E2,-1.631568887E1
2.949852235E2,-1.660524195E1
2.950943907E2,-1.796988099E1
2.952018711E2,-1.695114853E1
2.953077145E2,-1.676477731E1
2.954160875E2,-1.734048009E1
2.955243972E2,-1.799783621E1
2.956352018E2,-1.758525085E1
2.957410525E2,-1.766812403E1
2.958518742E2,-1.682129082E1
2.959577492E2,-1.611444438E1
2.960685452E2,-1.718137991E1
2.961743823E2,-1.689108261E1
2.962852162E2,-1.754873570E1
2.963910386E2,-1.759339351E1
2.965018788E2,-1.654742498E1
2.966077019E2,-1.629921717E1
2.967160953E2,-1.634464595E1
2.968244577E2,-1.616960904E1
2.969352033E2,-1.507114099E1
2.970410426E2,-1.511290204E1
2.971518766E2,-1.312907198E1
2.972577723E2,-1.571061374E1
2.973685471E2,-1.627344810E1
2.974743806E2,-1.612293373E1
2.975852095E2,-1.601883137E1
2.976910628E2,-1.658244689E1
2.978018748E2,-1.652042936E1
2.979077509E2,-1.597145998E1
2.980185626E2,-1.629570797E1
2.981244177E2,-1.664882255E1
2.982352278E2,-1.576468119E1
2.983410346E2,-1.676638778E1
2.984518804E2,-1.680884274E1
2.985577613E2,-1.630939222E1
2.986685390E2,-1.695538522E1
2.987744007E2,-1.750113293E1
2.988852018E2,-1.685084389E1
2.989910285E2,-1.637768149E1
2.991018799E2,-1.772190343E1
2.992078070E2,-1.751592998E1
2.993184980E2,-1.692641401E1
2.994244116E2,-1.625611396E1
2.995351995E2,-1.521983695E1
2.996410875E2,-1.487844917E1
2.997518805E2,-1.398293508E1
