"Time (s)","Peak-Frequency"
1.750198183E1,1.640625000E2
1.754464850E1,1.640625000E2
1.758731517E1,7.031250000E1
1.762998183E1,7.031250000E1
1.767264850E1,1.640625000E2
1.771531517E1,1.640625000E2
1.775798183E1,7.031250000E1
1.780064850E1,4.687500000E1
1.784331517E1,1.640625000E2
1.788598183E1,1.640625000E2
1.792864850E1,7.031250000E1
1.797131517E1,1.640625000E2
1.801398183E1,4.687500000E1
1.805664850E1,1.640625000E2
1.809931517E1,7.031250000E1
1.814198183E1,7.031250000E1
1.818464850E1,7.031250000E1
1.822731517E1,1.640625000E2
1.826998183E1,1.640625000E2
1.831264850E1,7.031250000E1
1.835531517E1,1.640625000E2
1.839798183E1,1.640625000E2
1.844064850E1,9.375000000E1
1.848331517E1,7.031250000E1
1.852598183E1,9.375000000E1
1.856864850E1,7.031250000E1
1.861131517E1,1.640625000E2
1.865398183E1,7.031250000E1
1.869664850E1,7.031250000E1
1.873931517E1,7.031250000E1
1.878198183E1,7.031250000E1
1.882464850E1,7.031250000E1
1.886731517E1,7.031250000E1
1.890998183E1,7.031250000E1
1.895264850E1,7.031250000E1
1.899531517E1,7.031250000E1
1.903798183E1,7.031250000E1
1.908064850E1,7.031250000E1
1.912331517E1,7.031250000E1
1.916598183E1,4.687500000E1
1.920864850E1,4.687500000E1
1.925131517E1,1.640625000E2
1.929398183E1,7.031250000E1
1.933664850E1,7.031250000E1
1.937931517E1,7.031250000E1
1.942198183E1,1.640625000E2
1.946464850E1,1.640625000E2
1.950731517E1,1.640625000E2
1.954998183E1,1.640625000E2
1.959264850E1,4.687500000E1
1.963531517E1,7.031250000E1
1.967798183E1,1.640625000E2
1.972064850E1,7.031250000E1
1.976331517E1,7.031250000E1
1.980598183E1,7.031250000E1
1.984864850E1,7.031250000E1
1.989131517E1,7.031250000E1
1.993398183E1,7.031250000E1
1.997664850E1,1.640625000E2
2.001931517E1,1.640625000E2
2.006198183E1,4.687500000E1
2.010464850E1,7.031250000E1
2.014731517E1,7.031250000E1
2.018998183E1,7.031250000E1
2.023264850E1,1.640625000E2
2.027531517E1,7.031250000E1
2.031798183E1,1.640625000E2
2.036064850E1,1.640625000E2
2.040331517E1,1.640625000E2
2.044598183E1,7.031250000E1
2.048864850E1,7.031250000E1
2.053131517E1,1.640625000E2
2.057398183E1,1.640625000E2
2.061664850E1,1.640625000E2
2.065931517E1,1.640625000E2
2.070198183E1,1.640625000E2
2.074464850E1,1.640625000E2
2.078731517E1,7.031250000E1
2.082998183E1,7.031250000E1
2.087264850E1,1.640625000E2
2.091531517E1,1.640625000E2
2.095798183E1,1.640625000E2
2.100064850E1,1.640625000E2
2.104331517E1,7.031250000E1
2.108598183E1,1.640625000E2
2.112864850E1,1.640625000E2
2.117131517E1,4.687500000E1
2.121398183E1,1.640625000E2
2.125664850E1,1.640625000E2
2.129931517E1,1.640625000E2
2.134198183E1,1.640625000E2
2.138464850E1,1.640625000E2
2.142731517E1,1.640625000E2
2.146998183E1,7.031250000E1
2.151264850E1,1.640625000E2
2.155531517E1,1.640625000E2
2.159798183E1,1.640625000E2
2.164064850E1,1.640625000E2
2.168331517E1,1.640625000E2
2.172598183E1,1.640625000E2
2.176864850E1,7.031250000E1
2.181131517E1,1.640625000E2
2.185398183E1,1.640625000E2
2.189664850E1,1.640625000E2
2.193931517E1,1.640625000E2
2.198198183E1,1.640625000E2
2.202464850E1,1.640625000E2
2.206731517E1,1.640625000E2
2.210998183E1,3.046875000E2
2.215264850E1,3.750000000E2
2.219531517E1,1.640625000E2
2.223798183E1,1.640625000E2
2.228064850E1,1.640625000E2
2.232331517E1,1.640625000E2
2.236598183E1,1.640625000E2
2.240864850E1,1.640625000E2
2.245131517E1,1.640625000E2
2.249398183E1,4.687500000E1
2.253664850E1,1.640625000E2
2.257931517E1,1.640625000E2
2.262198183E1,2.343750000E1
2.266464850E1,1.640625000E2
2.270731517E1,1.640625000E2
2.274998183E1,1.640625000E2
2.279264850E1,1.640625000E2
2.283531517E1,1.640625000E2
2.287798183E1,1.640625000E2
2.292064850E1,1.640625000E2
2.296331517E1,1.640625000E2
2.300598183E1,4.687500000E1
2.304864850E1,1.640625000E2
2.309131517E1,1.640625000E2
2.313398183E1,1.640625000E2
2.317664850E1,1.640625000E2
2.321931517E1,1.640625000E2
2.326198183E1,1.640625000E2
2.330464850E1,1.640625000E2
2.334731517E1,1.640625000E2
2.338998183E1,1.640625000E2
2.343264850E1,1.640625000E2
2.347531517E1,1.640625000E2
2.351798183E1,1.640625000E2
2.356064850E1,1.640625000E2
2.360331517E1,1.640625000E2
2.364598183E1,1.640625000E2
2.368864850E1,1.640625000E2
2.373131517E1,1.640625000E2
2.377398183E1,1.898437500E3
2.381664850E1,1.898437500E3
2.385931517E1,1.898437500E3
2.390198183E1,1.898437500E3
2.394464850E1,1.898437500E3
2.398731517E1,1.898437500E3
2.402998183E1,1.898437500E3
2.407264850E1,1.921875000E3
2.411531517E1,1.898437500E3
2.415798183E1,1.898437500E3
2.420064850E1,1.640625000E2
2.424331517E1,1.898437500E3
2.428598183E1,1.898437500E3
2.432864850E1,1.640625000E2
2.437131517E1,1.640625000E2
2.441398183E1,1.898437500E3
2.445664850E1,1.898437500E3
2.449931517E1,1.921875000E3
2.454198183E1,1.640625000E2
2.458464850E1,1.898437500E3
2.462731517E1,1.898437500E3
2.466998183E1,7.031250000E1
2.471264850E1,4.687500000E1
2.475531517E1,1.171875000E2
2.479798183E1,9.375000000E1
2.484064850E1,4.687500000E1
2.488331517E1,1.640625000E2
2.492598183E1,1.640625000E2
2.496864850E1,7.031250000E1
2.501131517E1,1.640625000E2
2.505398183E1,1.640625000E2
2.509664850E1,1.640625000E2
2.513931517E1,1.640625000E2
2.518198183E1,1.640625000E2
2.522464850E1,1.640625000E2
2.526731517E1,1.640625000E2
2.530998183E1,1.640625000E2
2.535264850E1,1.640625000E2
2.539531517E1,1.640625000E2
2.543798183E1,1.640625000E2
2.548064850E1,1.640625000E2
2.552331517E1,1.640625000E2
2.556598183E1,1.640625000E2
2.560864850E1,1.640625000E2
2.565131517E1,1.640625000E2
2.569398183E1,1.640625000E2
2.573664850E1,1.640625000E2
2.577931517E1,1.640625000E2
2.582198183E1,1.640625000E2
2.586464850E1,7.031250000E1
2.590731517E1,1.640625000E2
2.594998183E1,1.640625000E2
2.599264850E1,1.640625000E2
2.603531517E1,1.640625000E2
2.607798183E1,1.640625000E2
2.612064850E1,1.640625000E2
2.616331517E1,1.640625000E2
2.620598183E1,1.640625000E2
2.624864850E1,1.640625000E2
2.629131517E1,1.640625000E2
2.633398183E1,1.640625000E2
2.637664850E1,1.640625000E2
2.641931517E1,1.640625000E2
2.646198183E1,1.640625000E2
2.650464850E1,1.640625000E2
2.654731517E1,1.640625000E2
2.658998183E1,1.640625000E2
2.663264850E1,1.640625000E2
2.667531517E1,1.640625000E2
2.671798183E1,1.640625000E2
2.676064850E1,1.640625000E2
2.680331517E1,1.640625000E2
2.684598183E1,1.640625000E2
2.688864850E1,1.640625000E2
2.693131517E1,1.640625000E2
2.697398183E1,1.171875000E2
2.701664850E1,1.640625000E2
2.705931517E1,1.640625000E2
2.710198183E1,1.640625000E2
2.714464850E1,1.406250000E2
2.718731517E1,1.640625000E2
2.722998183E1,1.640625000E2
2.727264850E1,1.640625000E2
2.731531517E1,1.640625000E2
2.735798183E1,1.640625000E2
