"Time (s)","Recording (a.u.)"
4.604166667E-3,-7.820898294E-2
4.625000000E-3,-7.395938039E-2
4.645833333E-3,-6.917645037E-2
4.666666667E-3,-6.497286260E-2
4.687500000E-3,-6.189876050E-2
4.708333333E-3,-5.947377160E-2
4.729166667E-3,-5.729826540E-2
4.750000000E-3,-5.493017286E-2
4.770833333E-3,-5.143100768E-2
4.791666667E-3,-4.678039625E-2
4.812500000E-3,-4.234916344E-2
4.833333333E-3,-3.958277404E-2
4.854166667E-3,-3.850493208E-2
4.875000000E-3,-3.807830811E-2
4.895833333E-3,-3.764332831E-2
4.916666667E-3,-3.653801605E-2
4.937500000E-3,-3.398276120E-2
4.958333333E-3,-3.005519882E-2
4.979166667E-3,-2.543449774E-2
5.000000000E-3,-2.087144554E-2
5.020833333E-3,-1.711682416E-2
5.041666667E-3,-1.481796615E-2
5.062500000E-3,-1.402966119E-2
5.083333333E-3,-1.419995539E-2
5.104166667E-3,-1.512211747E-2
5.125000000E-3,-1.639424637E-2
5.145833333E-3,-1.728763245E-2
5.166666667E-3,-1.794929430E-2
5.187500000E-3,-1.836299524E-2
5.208333333E-3,-1.804384217E-2
5.229166667E-3,-1.693231612E-2
5.250000000E-3,-1.502864994E-2
5.270833333E-3,-1.313965768E-2
5.291666667E-3,-1.242618170E-2
5.312500000E-3,-1.264389977E-2
5.333333333E-3,-1.264828444E-2
5.354166667E-3,-1.129980758E-2
5.375000000E-3,-8.547183126E-3
5.395833333E-3,-5.784289911E-3
5.416666667E-3,-3.951835446E-3
5.437500000E-3,-2.931417199E-3
5.458333333E-3,-2.690808382E-3
5.479166667E-3,-3.647061763E-3
5.500000000E-3,-5.845058709E-3
5.520833333E-3,-8.223168552E-3
5.541666667E-3,-9.439991787E-3
5.562500000E-3,-8.750266396E-3
5.583333333E-3,-6.309547462E-3
5.604166667E-3,-3.468722105E-3
5.625000000E-3,-1.340773073E-3
5.645833333E-3,2.008269075E-4
5.666666667E-3,9.491785895E-4
5.687500000E-3,1.186128939E-4
5.708333333E-3,-2.186750993E-3
5.729166667E-3,-4.975102842E-3
5.750000000E-3,-7.128576748E-3
5.770833333E-3,-8.059401065E-3
5.791666667E-3,-8.288269863E-3
5.812500000E-3,-8.299048990E-3
5.833333333E-3,-7.381756324E-3
5.854166667E-3,-5.028404761E-3
5.875000000E-3,-1.883289078E-3
5.895833333E-3,9.611113928E-4
5.916666667E-3,2.677235287E-3
5.937500000E-3,3.362066112E-3
5.958333333E-3,3.688691882E-3
5.979166667E-3,4.306596704E-3
6.000000000E-3,5.688725971E-3
6.020833333E-3,7.645332720E-3
6.041666667E-3,9.613340721E-3
6.062500000E-3,1.139543764E-2
6.083333333E-3,1.328116376E-2
6.104166667E-3,1.500301249E-2
6.125000000E-3,1.514089480E-2
6.145833333E-3,1.286162902E-2
6.166666667E-3,8.451570757E-3
6.187500000E-3,2.856036881E-3
6.208333333E-3,-1.945914933E-3
6.229166667E-3,-4.658746533E-3
6.250000000E-3,-5.617000163E-3
6.270833333E-3,-5.238178186E-3
6.291666667E-3,-4.020553082E-3
6.312500000E-3,-2.736041322E-3
6.333333333E-3,-1.609246712E-3
6.354166667E-3,-6.354445941E-4
6.375000000E-3,1.527960412E-4
6.395833333E-3,1.001053723E-3
6.416666667E-3,2.022540197E-3
6.437500000E-3,2.609064104E-3
6.458333333E-3,1.640461502E-3
6.479166667E-3,-6.073236000E-4
6.500000000E-3,-2.263815608E-3
6.520833333E-3,-3.270833055E-3
6.541666667E-3,-5.317923613E-3
6.562500000E-3,-8.821383119E-3
6.583333333E-3,-1.301719714E-2
6.604166667E-3,-1.736942679E-2
6.625000000E-3,-2.217907831E-2
6.645833333E-3,-2.727847174E-2
6.666666667E-3,-3.112597018E-2
6.687500000E-3,-3.258805722E-2
6.708333333E-3,-3.180085868E-2
6.729166667E-3,-2.988804504E-2
6.750000000E-3,-2.754478157E-2
6.770833333E-3,-2.405333146E-2
6.791666667E-3,-1.963624731E-2
6.812500000E-3,-1.606077887E-2
6.833333333E-3,-1.465066709E-2
6.854166667E-3,-1.524867676E-2
6.875000000E-3,-1.662334055E-2
6.895833333E-3,-1.872711815E-2
6.916666667E-3,-2.247933671E-2
6.937500000E-3,-2.688015252E-2
6.958333333E-3,-2.966761403E-2
6.979166667E-3,-2.981660701E-2
7.000000000E-3,-2.791675180E-2
7.020833333E-3,-2.527416125E-2
7.041666667E-3,-2.255412564E-2
7.062500000E-3,-1.947030798E-2
7.083333333E-3,-1.631585695E-2
7.104166667E-3,-1.403348334E-2
7.125000000E-3,-1.267897710E-2
7.145833333E-3,-1.179735456E-2
7.166666667E-3,-1.113536302E-2
7.187500000E-3,-1.025982387E-2
7.208333333E-3,-8.850095794E-3
7.229166667E-3,-7.063779049E-3
7.250000000E-3,-5.428160075E-3
7.270833333E-3,-4.496447742E-3
7.291666667E-3,-4.742947407E-3
7.312500000E-3,-6.510906853E-3
7.333333333E-3,-9.096328169E-3
7.354166667E-3,-1.123831142E-2
7.375000000E-3,-1.231244765E-2
7.395833333E-3,-1.191062760E-2
7.416666667E-3,-1.024156250E-2
7.437500000E-3,-8.298058994E-3
7.458333333E-3,-6.665222347E-3
7.479166667E-3,-5.316650961E-3
7.500000000E-3,-4.056797363E-3
7.520833333E-3,-3.146780189E-3
7.541666667E-3,-3.039819654E-3
7.562500000E-3,-3.671169979E-3
7.583333333E-3,-5.216174293E-3
7.604166667E-3,-8.138392121E-3
7.625000000E-3,-1.211725827E-2
7.645833333E-3,-1.605996490E-2
7.666666667E-3,-1.907867193E-2
7.687500000E-3,-2.065009996E-2
7.708333333E-3,-2.000997588E-2
7.729166667E-3,-1.695965603E-2
7.750000000E-3,-1.260887925E-2
7.770833333E-3,-8.159602992E-3
7.791666667E-3,-3.948292229E-3
7.812500000E-3,-1.223314321E-4
7.833333333E-3,2.824407071E-3
7.854166667E-3,4.564226139E-3
7.875000000E-3,4.842871334E-3
7.895833333E-3,3.321676981E-3
7.916666667E-3,1.749579096E-4
7.937500000E-3,-3.768672235E-3
7.958333333E-3,-7.544678636E-3
7.979166667E-3,-1.068491489E-2
8.000000000E-3,-1.292426325E-2
8.020833333E-3,-1.409754995E-2
8.041666667E-3,-1.456541009E-2
8.062500000E-3,-1.460391749E-2
8.083333333E-3,-1.394807361E-2
8.104166667E-3,-1.183296274E-2
8.125000000E-3,-7.804499939E-3
8.145833333E-3,-2.634247066E-3
8.166666667E-3,2.552346792E-3
8.187500000E-3,7.117772475E-3
8.208333333E-3,1.087935921E-2
8.229166667E-3,1.382520143E-2
8.250000000E-3,1.575151645E-2
8.270833333E-3,1.624736004E-2
8.291666667E-3,1.507079136E-2
8.312500000E-3,1.261536870E-2
8.333333333E-3,9.362188168E-3
8.354166667E-3,5.657148547E-3
8.375000000E-3,2.247709781E-3
8.395833333E-3,-2.223975025E-4
8.416666667E-3,-1.478792168E-3
8.437500000E-3,-1.093635103E-3
8.458333333E-3,1.185771776E-3
8.479166667E-3,4.438167438E-3
8.500000000E-3,7.158098277E-3
8.520833333E-3,8.756847121E-3
8.541666667E-3,9.584039450E-3
8.562500000E-3,1.021552272E-2
8.583333333E-3,1.072009280E-2
8.604166667E-3,1.087012887E-2
8.625000000E-3,1.078832801E-2
8.645833333E-3,1.051041670E-2
8.666666667E-3,9.851528332E-3
8.687500000E-3,8.678042330E-3
8.708333333E-3,6.988585927E-3
8.729166667E-3,4.783537239E-3
8.750000000E-3,2.286470030E-3
8.770833333E-3,8.837366477E-5
8.791666667E-3,-1.776475227E-3
8.812500000E-3,-3.357618814E-3
8.833333333E-3,-4.001696594E-3
8.854166667E-3,-3.254754003E-3
8.875000000E-3,-1.462599030E-3
8.895833333E-3,4.940812360E-4
8.916666667E-3,2.142798621E-3
8.937500000E-3,3.414270934E-3
8.958333333E-3,4.063213244E-3
8.979166667E-3,4.029861651E-3
9.000000000E-3,3.478528233E-3
9.020833333E-3,2.802780131E-3
9.041666667E-3,2.342079300E-3
9.062500000E-3,2.045955509E-3
9.083333333E-3,1.875934424E-3
9.104166667E-3,1.961638685E-3
9.125000000E-3,2.517365385E-3
9.145833333E-3,3.629480954E-3
9.166666667E-3,5.518500227E-3
9.187500000E-3,8.443295956E-3
9.208333333E-3,1.209217310E-2
9.229166667E-3,1.621220261E-2
9.250000000E-3,2.050753683E-2
9.270833333E-3,2.389181964E-2
9.291666667E-3,2.521151304E-2
9.312500000E-3,2.423462644E-2
9.333333333E-3,2.179416455E-2
9.354166667E-3,1.891552284E-2
9.375000000E-3,1.633784734E-2
9.395833333E-3,1.486475579E-2
9.416666667E-3,1.504847500E-2
9.437500000E-3,1.692067273E-2
9.458333333E-3,2.009405755E-2
9.479166667E-3,2.376595885E-2
9.500000000E-3,2.710975893E-2
9.520833333E-3,2.955397405E-2
9.541666667E-3,3.103930131E-2
9.562500000E-3,3.200351819E-2
9.583333333E-3,3.254965693E-2
9.604166667E-3,3.272369504E-2
9.625000000E-3,3.289473802E-2
9.645833333E-3,3.274574876E-2
9.666666667E-3,3.182755411E-2
9.687500000E-3,3.078235313E-2
9.708333333E-3,3.044618294E-2
9.729166667E-3,3.077826276E-2
9.750000000E-3,3.136526421E-2
9.770833333E-3,3.195609152E-2
9.791666667E-3,3.218507767E-2
9.812500000E-3,3.189841658E-2
9.833333333E-3,3.131813183E-2
9.854166667E-3,3.081674874E-2
9.875000000E-3,3.113148734E-2
9.895833333E-3,3.245460987E-2
9.916666667E-3,3.407551348E-2
9.937500000E-3,3.536437452E-2
9.958333333E-3,3.600601852E-2
9.979166667E-3,3.587527946E-2
