"Time (s)","Peak-Frequency"
1.639228258E1,7.031250000E1
1.643494925E1,2.109375000E2
1.647761592E1,2.343750000E1
1.652028258E1,4.687500000E1
1.656294925E1,7.031250000E1
1.660561592E1,7.031250000E1
1.664828258E1,4.687500000E1
1.669094925E1,1.640625000E2
1.673361592E1,7.031250000E1
1.677628258E1,4.687500000E1
1.681894925E1,7.031250000E1
1.686161592E1,4.687500000E1
1.690428258E1,7.031250000E1
1.694694925E1,9.375000000E1
1.698961592E1,7.031250000E1
1.703228258E1,1.875000000E2
1.707494925E1,2.109375000E2
1.711761592E1,2.109375000E2
1.721199858E1,1.875000000E2
1.727168383E1,3.046875000E2
1.731435050E1,4.687500000E1
1.748570004E1,7.031250000E1
1.752836671E1,7.031250000E1
1.759921917E1,7.031250000E1
1.774042433E1,1.640625000E2
1.778309100E1,7.031250000E1
1.789976825E1,3.750000000E2
1.800753050E1,9.375000000E1
1.805019717E1,7.031250000E1
1.809286383E1,7.031250000E1
1.813553050E1,7.031250000E1
1.817819717E1,7.031250000E1
1.822086383E1,7.031250000E1
1.828973663E1,7.031250000E1
1.833240329E1,2.109375000E2
1.837506996E1,2.343750000E2
1.841773663E1,1.875000000E2
1.846040329E1,7.031250000E1
1.850350921E1,7.031250000E1
1.854617587E1,7.031250000E1
1.858985862E1,7.031250000E1
1.863252529E1,7.031250000E1
1.867519196E1,7.031250000E1
1.871785862E1,7.031250000E1
1.876052529E1,7.031250000E1
1.880319196E1,7.031250000E1
1.884585862E1,7.031250000E1
1.888852529E1,7.031250000E1
1.893119196E1,7.031250000E1
1.897385862E1,9.375000000E1
1.901652529E1,7.031250000E1
1.905919196E1,9.375000000E1
1.910185862E1,7.031250000E1
1.915366908E1,3.281250000E2
1.919633575E1,7.031250000E1
1.927019642E1,2.343750000E2
1.931286308E1,7.031250000E1
1.935552975E1,7.031250000E1
1.939819642E1,7.031250000E1
1.944086308E1,2.343750000E2
1.948735162E1,7.031250000E1
1.962374942E1,1.640625000E2
1.966641608E1,7.031250000E1
1.972503362E1,1.875000000E2
1.976770029E1,7.031250000E1
1.981036696E1,9.375000000E1
1.985385263E1,7.031250000E1
1.989651929E1,3.281250000E2
1.993918596E1,7.031250000E1
1.998647675E1,4.687500000E1
2.012934054E1,4.687500000E1
2.017200721E1,2.109375000E2
2.021467387E1,2.109375000E2
2.025734054E1,2.109375000E2
2.030000721E1,7.031250000E1
2.034267387E1,1.406250000E2
2.038534054E1,1.640625000E2
2.042800721E1,7.031250000E1
2.047067387E1,7.031250000E1
2.051334054E1,7.031250000E1
2.055600721E1,7.031250000E1
2.059867387E1,3.281250000E2
2.064134054E1,4.687500000E1
2.068400721E1,7.031250000E1
2.072667387E1,4.687500000E1
2.080652633E1,4.687500000E1
2.084919300E1,4.687500000E1
2.089185967E1,4.687500000E1
2.093452633E1,2.343750000E2
2.102282038E1,2.109375000E2
2.110400475E1,1.875000000E2
2.114667142E1,7.031250000E1
2.118933808E1,7.031250000E1
2.123200475E1,4.687500000E1
2.127467142E1,7.031250000E1
2.131733808E1,7.031250000E1
2.136000475E1,7.031250000E1
2.140267142E1,7.031250000E1
2.144533808E1,4.687500000E1
2.148800475E1,3.281250000E2
2.153067142E1,4.687500000E1
2.157333808E1,7.031250000E1
2.161600475E1,7.031250000E1
2.165867142E1,7.031250000E1
2.170133808E1,7.031250000E1
2.174400475E1,7.031250000E1
2.178667142E1,7.031250000E1
2.187487171E1,4.687500000E1
2.191753838E1,4.687500000E1
2.196020504E1,7.031250000E1
2.203984108E1,7.031250000E1
2.208250775E1,4.687500000E1
2.212517442E1,7.031250000E1
2.219968821E1,7.031250000E1
2.224235488E1,4.687500000E1
2.228502154E1,2.343750000E2
2.241702504E1,3.281250000E2
2.245969171E1,7.031250000E1
2.250235838E1,3.281250000E2
2.254502504E1,4.687500000E1
2.258769171E1,9.375000000E1
2.263035838E1,2.343750000E2
2.267302504E1,2.109375000E2
2.279192979E1,7.031250000E1
2.283459646E1,3.281250000E2
2.289140200E1,4.687500000E1
2.293406867E1,7.031250000E1
2.297673533E1,3.281250000E2
2.301940200E1,7.031250000E1
2.306206867E1,7.031250000E1
2.310844829E1,7.031250000E1
2.319925071E1,7.031250000E1
2.324191738E1,2.109375000E2
2.328458404E1,7.031250000E1
2.336435767E1,3.281250000E2
2.340702433E1,7.031250000E1
2.344969100E1,7.031250000E1
2.349235767E1,3.281250000E2
2.353502433E1,7.031250000E1
2.357769100E1,3.281250000E2
2.362035767E1,4.687500000E1
2.366302433E1,3.281250000E2
2.372621829E1,3.281250000E2
2.385804696E1,3.046875000E2
2.396416558E1,7.031250000E1
2.400683225E1,3.281250000E2
2.407875096E1,7.031250000E1
2.412141763E1,4.687500000E1
2.416408429E1,4.687500000E1
2.424078158E1,7.031250000E1
2.428344825E1,4.687500000E1
2.432611492E1,7.031250000E1
2.436878158E1,7.031250000E1
2.441144825E1,7.031250000E1
2.448426004E1,7.031250000E1
2.452692671E1,4.687500000E1
2.456959338E1,7.031250000E1
2.461226004E1,7.031250000E1
2.472041246E1,7.031250000E1
2.476307913E1,7.031250000E1
2.480574579E1,4.687500000E1
2.488101167E1,4.687500000E1
2.494040542E1,7.031250000E1
2.498307208E1,7.031250000E1
2.502573875E1,4.687500000E1
