"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.204687500E4,9.713884038E-2
1.207031250E4,1.000193967E-1
1.209375000E4,1.310182964E-1
1.211718750E4,1.061916513E-1
1.214062500E4,1.112571123E-1
1.216406250E4,8.021207977E-2
1.218750000E4,8.864567799E-2
1.221093750E4,6.667168479E-2
1.223437500E4,1.227151196E-1
1.225781250E4,6.706875829E-2
1.228125000E4,7.643302489E-2
1.230468750E4,8.547777697E-2
1.232812500E4,8.670906890E-2
1.235156250E4,1.943799268E-2
1.237500000E4,8.437816095E-2
1.239843750E4,4.995384791E-2
1.242187500E4,4.281173124E-2
1.244531250E4,3.273775181E-2
1.246875000E4,9.986379535E-2
1.249218750E4,8.503031401E-2
1.251562500E4,9.212846066E-2
1.253906250E4,7.478092658E-2
1.256250000E4,8.576428645E-2
1.258593750E4,3.864594227E-2
1.260937500E4,8.002807274E-2
1.263281250E4,9.043016218E-2
1.265625000E4,6.401012721E-2
1.267968750E4,9.086898329E-2
1.270312500E4,3.879669199E-2
1.272656250E4,7.778799828E-2
1.275000000E4,6.368269673E-2
1.277343750E4,8.331961149E-2
1.279687500E4,6.274052444E-2
1.282031250E4,6.975975213E-2
1.284375000E4,6.852753832E-2
1.286718750E4,8.163301074E-2
1.289062500E4,9.242719523E-2
1.291406250E4,7.560143911E-2
1.293750000E4,7.185620649E-2
1.296093750E4,1.100283617E-1
1.298437500E4,6.367371603E-3
1.300781250E4,8.588233496E-2
1.303125000E4,8.223345094E-2
1.305468750E4,1.682269253E-1
1.307812500E4,1.498069231E-1
1.310156250E4,8.385734462E-2
1.312500000E4,8.255855224E-2
1.314843750E4,8.789022807E-2
1.317187500E4,8.386953288E-2
1.319531250E4,1.112163733E-1
1.321875000E4,1.423363320E-1
1.324218750E4,9.856757249E-2
1.326562500E4,7.086503893E-2
1.328906250E4,1.225150332E-1
1.331250000E4,3.558874568E-2
1.333593750E4,8.309298913E-2
1.335937500E4,5.306777045E-2
1.338281250E4,5.142628189E-2
1.340625000E4,4.549768255E-2
1.342968750E4,6.639637821E-2
1.345312500E4,6.580723583E-2
1.347656250E4,5.375974702E-2
1.350000000E4,1.114154188E-1
1.352343750E4,1.690483262E-2
1.354687500E4,2.210452880E-2
1.357031250E4,8.508063967E-2
1.359375000E4,1.352115989E-1
1.361718750E4,1.087298509E-1
1.364062500E4,1.455806986E-2
1.366406250E4,1.399051069E-1
1.368750000E4,6.141512009E-2
1.371093750E4,7.762613338E-2
1.373437500E4,5.348531601E-2
1.375781250E4,9.772944762E-2
1.378125000E4,8.121968233E-2
1.380468750E4,5.501765996E-2
1.382812500E4,7.536125551E-2
1.385156250E4,1.148533706E-1
1.387500000E4,4.732611064E-2
1.389843750E4,8.121538603E-2
1.392187500E4,8.332354901E-2
1.394531250E4,1.961831965E-2
1.396875000E4,9.323164487E-2
1.399218750E4,3.134375390E-2
1.401562500E4,5.712697657E-2
1.403906250E4,3.285484563E-2
1.406250000E4,3.277374359E-2
1.408593750E4,5.174874764E-2
1.410937500E4,6.081705255E-2
1.413281250E4,1.148205160E-1
1.415625000E4,7.181639911E-2
1.417968750E4,6.940433227E-2
1.420312500E4,8.101536521E-2
1.422656250E4,6.634723352E-2
1.425000000E4,4.303101459E-2
1.427343750E4,6.548380146E-2
1.429687500E4,5.191685260E-2
1.432031250E4,9.755750373E-2
1.434375000E4,5.256289227E-2
1.436718750E4,6.621971990E-2
1.439062500E4,8.186225925E-2
1.441406250E4,3.086452151E-2
1.443750000E4,6.863719088E-2
1.446093750E4,5.150906792E-2
1.448437500E4,8.124064867E-2
1.450781250E4,6.091322051E-2
1.453125000E4,6.978478941E-2
1.455468750E4,7.001151240E-2
1.457812500E4,6.913737367E-2
1.460156250E4,5.742187971E-2
1.462500000E4,5.360959830E-2
1.464843750E4,5.190095555E-2
1.467187500E4,5.228836784E-2
1.469531250E4,6.762240836E-2
1.471875000E4,6.057337929E-2
1.474218750E4,4.906296828E-2
1.476562500E4,4.591967027E-2
1.478906250E4,4.804134455E-2
1.481250000E4,5.428436555E-2
1.483593750E4,5.618764715E-2
1.485937500E4,5.528225937E-2
1.488281250E4,5.523309751E-2
1.490625000E4,5.582767622E-2
1.492968750E4,5.254209576E-2
1.495312500E4,5.876295443E-2
1.497656250E4,5.932840781E-2
1.500000000E4,5.129404579E-2
1.502343750E4,6.228083387E-2
1.504687500E4,5.416894179E-2
1.507031250E4,6.688287285E-2
1.509375000E4,5.438382949E-2
1.511718750E4,5.166326126E-2
1.514062500E4,5.367246650E-2
1.516406250E4,4.004117426E-2
1.518750000E4,6.449822184E-2
1.521093750E4,6.340980626E-2
1.523437500E4,7.913753617E-2
1.525781250E4,5.700891578E-2
1.528125000E4,5.328465928E-2
1.530468750E4,5.682340849E-2
1.532812500E4,5.448803208E-2
1.535156250E4,5.325332448E-2
1.537500000E4,5.488815116E-2
1.539843750E4,5.824690049E-2
1.542187500E4,3.413024595E-2
1.544531250E4,5.705917842E-2
1.546875000E4,5.017926553E-2
1.549218750E4,5.874470321E-2
1.551562500E4,6.103255896E-2
1.553906250E4,7.811089699E-2
1.556250000E4,8.085918101E-2
1.558593750E4,7.670848780E-2
1.560937500E4,6.412424128E-2
1.563281250E4,5.436886279E-2
1.565625000E4,3.855038827E-2
1.567968750E4,5.619780218E-2
1.570312500E4,3.763005283E-2
1.572656250E4,5.544932408E-2
1.575000000E4,3.997156102E-2
1.577343750E4,7.268914666E-2
1.579687500E4,7.446013293E-2
1.582031250E4,8.751256546E-2
1.584375000E4,9.481698977E-2
1.586718750E4,2.350882704E-2
1.589062500E4,8.416044667E-2
1.591406250E4,6.978190819E-2
1.593750000E4,9.051720589E-2
1.596093750E4,5.108603927E-2
1.598437500E4,4.109811011E-2
1.600781250E4,2.342073716E-2
1.603125000E4,5.072627395E-2
1.605468750E4,3.798661787E-2
1.607812500E4,7.444340834E-2
1.610156250E4,8.509756374E-2
1.612500000E4,7.857749290E-2
1.614843750E4,7.841770528E-2
1.617187500E4,7.865720508E-2
1.619531250E4,5.932773265E-2
1.621875000E4,4.141199541E-2
1.624218750E4,7.724669514E-2
1.626562500E4,5.410321839E-2
1.628906250E4,6.124876930E-2
1.631250000E4,5.596504219E-2
1.633593750E4,7.508057845E-2
1.635937500E4,4.435027863E-2
1.638281250E4,3.921308881E-2
1.640625000E4,5.910044188E-2
1.642968750E4,5.035813632E-2
1.645312500E4,6.773211819E-2
1.647656250E4,6.585283085E-2
1.650000000E4,5.383172897E-2
1.652343750E4,5.488833187E-2
1.654687500E4,4.317221963E-2
1.657031250E4,5.418771461E-2
1.659375000E4,6.475950809E-2
1.661718750E4,6.871009400E-2
1.664062500E4,3.166646819E-2
1.666406250E4,4.871223158E-2
1.668750000E4,6.016890087E-2
1.671093750E4,4.058562335E-2
1.673437500E4,4.771445638E-2
1.675781250E4,4.777873887E-2
1.678125000E4,5.634567999E-2
1.680468750E4,5.491819574E-2
1.682812500E4,5.167496406E-2
1.685156250E4,5.971204313E-2
1.687500000E4,6.047965165E-2
1.689843750E4,3.519281691E-2
1.692187500E4,4.728048878E-2
1.694531250E4,6.039382303E-2
1.696875000E4,4.961495899E-2
1.699218750E4,6.403699279E-2
1.701562500E4,2.463229492E-2
1.703906250E4,6.411720261E-2
1.706250000E4,4.505848066E-2
1.708593750E4,5.300788703E-2
1.710937500E4,6.163762509E-2
1.713281250E4,7.812124655E-2
1.715625000E4,1.293565476E-2
1.717968750E4,7.350328158E-2
1.720312500E4,3.452720938E-2
1.722656250E4,5.265551902E-2
1.725000000E4,5.362222707E-2
1.727343750E4,3.928507506E-2
1.729687500E4,4.778909402E-2
1.732031250E4,5.938637092E-2
1.734375000E4,4.410711167E-2
1.736718750E4,3.532202735E-2
1.739062500E4,5.209588533E-2
1.741406250E4,3.928090703E-2
1.743750000E4,5.480499819E-2
1.746093750E4,3.917767067E-2
1.748437500E4,5.769356619E-2
1.750781250E4,4.606120288E-2
1.753125000E4,5.740489211E-2
1.755468750E4,4.139687861E-2
1.757812500E4,6.387117574E-2
1.760156250E4,4.065888626E-2
1.762500000E4,3.998478042E-2
1.764843750E4,5.030500655E-2
1.767187500E4,4.315411726E-2
1.769531250E4,5.731437295E-2
1.771875000E4,4.027959172E-2
1.774218750E4,4.730634480E-2
1.776562500E4,3.798342415E-2
1.778906250E4,4.756233533E-2
1.781250000E4,5.813956254E-2
1.783593750E4,4.372022645E-2
1.785937500E4,3.018295350E-2
1.788281250E4,5.407820496E-2
1.790625000E4,4.661801803E-2
1.792968750E4,5.504699280E-2
1.795312500E4,4.129756077E-2
1.797656250E4,6.345637802E-2
1.800000000E4,4.421719382E-2
1.802343750E4,4.624432575E-2
1.804687500E4,6.201758603E-2
1.807031250E4,5.763590617E-2
1.809375000E4,3.983248947E-2
1.811718750E4,7.825596390E-2
1.814062500E4,5.655249286E-2
1.816406250E4,3.489650775E-2
1.818750000E4,4.436770360E-2
1.821093750E4,5.447013927E-2
1.823437500E4,5.339492199E-2
1.825781250E4,6.309088085E-2
1.828125000E4,4.237794228E-2
1.830468750E4,4.068314899E-2
1.832812500E4,4.631679487E-2
1.835156250E4,4.641106913E-2
1.837500000E4,4.136361335E-2
1.839843750E4,4.941256155E-2
1.842187500E4,5.809923979E-2
1.844531250E4,4.317632886E-2
1.846875000E4,3.758538616E-2
1.849218750E4,4.622035627E-2
1.851562500E4,3.699048534E-2
1.853906250E4,5.647457681E-2
1.856250000E4,3.899360433E-2
1.858593750E4,5.144685735E-2
1.860937500E4,5.035455672E-2
1.863281250E4,4.940034839E-2
1.865625000E4,5.615388309E-2
1.867968750E4,7.173826598E-2
1.870312500E4,3.934242426E-2
1.872656250E4,4.351639837E-2
1.875000000E4,5.981682936E-2
1.877343750E4,5.040338914E-2
1.879687500E4,4.372671136E-2
1.882031250E4,5.747383853E-2
1.884375000E4,4.266779359E-2
1.886718750E4,4.784955597E-2
1.889062500E4,5.166544908E-2
1.891406250E4,5.098036213E-2
1.893750000E4,4.909291440E-2
1.896093750E4,6.068836946E-2
1.898437500E4,3.434895854E-2
1.900781250E4,5.538520625E-2
1.903125000E4,5.236593833E-2
1.905468750E4,4.487024290E-2
1.907812500E4,3.571725796E-2
1.910156250E4,5.172243916E-2
1.912500000E4,5.072304117E-2
1.914843750E4,5.522640054E-2
1.917187500E4,5.444630384E-2
1.919531250E4,4.778934818E-2
1.921875000E4,4.943494722E-2
