"t (s)","Inclination (deg)","Rotation (deg)"
9.881959813E1,7.057676888E-1,-6.212501148E1
9.931964946E1,7.437950492E-1,-5.981691861E1
9.981990546E1,6.404366647E-1,-5.881859673E1
1.003202052E2,7.176327443E-1,-6.333993103E1
1.008205012E2,5.856951930E-1,-3.782185471E1
1.013208171E2,8.088628650E-1,-5.967128246E1
1.018211441E2,6.718331915E-1,-5.213165011E1
1.023212901E2,6.405875207E-1,-5.872419281E1
1.028213371E2,6.843158183E-1,-5.253561495E1
1.033213865E2,6.896157824E-1,-5.037365450E1
1.038214325E2,6.828278677E-1,-5.659878163E1
1.048219150E2,6.361025248E-1,-6.571417484E1
1.053220228E2,7.454043823E-1,-5.840587524E1
1.058220688E2,6.739676212E-1,-6.279347898E1
1.063221123E2,6.434377441E-1,-6.110627412E1
1.068221573E2,7.586174576E-1,-6.032961476E1
1.073222035E2,6.602039881E-1,-5.490077893E1
1.078222485E2,8.130629391E-1,-6.346273533E1
1.083222917E2,5.643367219E-1,-5.962087399E1
1.088223367E2,8.280825336E-1,-6.160842967E1
1.094225508E2,7.134073178E-1,-5.855028583E1
1.099225968E2,7.448428797E-1,-6.352632957E1
1.104226423E2,7.544681492E-1,-6.616696969E1
1.109226883E2,6.450893128E-1,-4.895475946E1
1.114227438E2,8.291097372E-1,-6.236948491E1
1.119230388E2,6.700300457E-1,-5.630993247E1
1.124233636E2,8.533611046E-1,-6.637401094E1
1.129236596E2,6.603996977E-1,-5.592839019E1
1.134239727E2,8.110705069E-1,-6.574670409E1
1.139242867E2,7.433345680E-1,-6.440803197E1
1.144246452E2,5.733797296E-1,-5.111993034E1
1.149249982E2,7.503920463E-1,-6.403963117E1
1.154253273E2,6.327468682E-1,-5.633223523E1
1.159255193E2,1.930528269E0,-2.431609649E1
1.164255607E2,4.674686842E0,-1.053421497E1
1.169256007E2,6.905430662E0,-1.003351002E1
1.174256422E2,7.385202784E0,-7.693658545E0
1.179256822E2,7.108023357E0,-7.875121001E0
1.184257215E2,7.135455560E0,-6.170552054E0
1.189257605E2,7.138274543E0,-6.665563576E0
1.194257980E2,7.170474364E0,-7.982848565E0
1.199258360E2,7.033012993E0,-6.883323648E0
1.204258741E2,7.216430523E0,-7.588174177E0
1.209259111E2,6.965109040E0,-7.327024776E0
1.214259476E2,6.862960218E0,-5.327781125E0
1.219259836E2,7.007000720E0,-6.424705789E0
1.229260543E2,6.855048734E0,-3.062950817E0
1.234260893E2,6.832942215E0,-6.681615068E0
1.239261243E2,6.856987784E0,-6.919568426E0
1.244261581E2,6.820188086E0,-4.160974245E0
1.249261921E2,6.973792436E0,-4.050092021E0
1.254262251E2,6.368809014E0,-6.837485901E0
1.259262581E2,6.532008860E0,-2.712851275E0
1.264262913E2,6.341876501E0,-2.623014806E0
1.269263243E2,5.611921888E0,-1.489265052E0
1.274263567E2,5.881506507E0,-4.081414713E0
1.279263897E2,5.577060169E0,-3.451524391E0
1.284264238E2,5.376736859E0,-2.805407619E-2
1.289264588E2,5.107514212E0,-8.950166050E-1
1.294264956E2,5.141470885E0,-2.850306687E0
1.299265336E2,4.932672857E0,7.914609766E0
1.304265728E2,4.882796865E0,-1.227326495E-1
1.309266128E2,4.537883590E0,-3.426595701E0
1.314266548E2,4.712364542E0,-3.838580537E0
1.319266958E2,4.742976291E0,-3.445414902E0
1.324267381E2,4.173560487E0,-3.317609219E0
1.329267791E2,4.776483384E0,-2.534201367E1
1.334268198E2,3.495402314E0,4.046522488E0
1.344269019E2,1.385769976E0,1.218202380E1
1.349269419E2,2.820802603E0,-7.256096373E1
1.354269822E2,1.472599511E0,-7.686597769E1
1.359270222E2,2.046401655E0,-1.009564411E2
1.364270628E2,2.517666215E0,-9.992719940E1
1.369271028E2,2.006101610E0,-7.535679345E1
1.374271429E2,4.292050265E0,-9.163255237E1
1.379271839E2,1.071304269E0,2.523929368E1
1.384272228E2,1.258357341E0,-5.707865371E1
1.389272618E2,7.014590404E-1,6.058582964E0
1.394272997E2,7.108089936E-1,9.415071990E1
1.399273377E2,1.339257950E0,7.440035481E1
1.404273742E2,7.896100123E-1,4.445520710E1
1.409274102E2,7.400481887E-1,5.634805341E1
1.414274460E2,1.269687087E0,3.686989764E1
1.419274810E2,1.806348485E0,6.736933308E1
1.424275157E2,8.220273963E-1,6.775097634E1
