"t (s)","Inclination (deg)","Rotation (deg)"
9.349244929E1,9.773125598E0,7.716090423E1
9.399239192E1,1.003804786E1,6.981787746E1
9.449233392E1,1.039406529E1,6.559058590E1
9.499227675E1,1.033381519E1,6.483835575E1
9.549221875E1,9.912003227E0,6.696912222E1
9.599216050E1,1.035065311E1,6.685846612E1
9.649210250E1,9.896373300E0,7.378777019E1
9.749198725E1,9.841984993E0,7.200365504E1
9.799210225E1,1.001137889E1,7.217658848E1
9.849219325E1,1.007475624E1,7.305703950E1
9.899213379E1,1.012003245E1,7.126391430E1
9.949207579E1,1.015921481E1,7.431016937E1
9.999201737E1,1.044576202E1,7.245372017E1
1.004919584E2,9.788879868E0,8.485454183E1
1.009919006E2,1.072536224E1,1.084471310E2
1.014918426E2,1.086675454E1,1.085367919E2
1.019917831E2,1.012840585E1,1.044540279E2
1.024917251E2,1.607004890E1,1.344951745E2
1.029916665E2,1.163251543E1,1.042613627E2
1.034916085E2,2.153197444E1,1.446527585E2
1.039915498E2,1.078380640E1,-1.017476713E2
1.044914907E2,7.453407058E0,1.614909201E2
1.049914332E2,8.524476814E0,1.202382516E2
1.054913743E2,8.960407980E0,1.029598784E2
1.059913151E2,8.600660625E0,8.893399155E1
1.064912561E2,2.959451593E0,1.159485770E2
1.069911983E2,4.595435422E0,1.304801795E2
1.074911393E2,4.489275156E0,1.528796507E2
1.079910798E2,2.044591611E0,1.042219180E2
1.084910207E2,9.031638173E0,1.032411605E2
1.089909618E2,7.564579398E0,1.307226838E2
1.094909028E2,8.159502761E0,8.997548581E1
1.099908439E2,7.726219100E0,9.285327946E1
1.104907849E2,7.932255872E0,8.568828852E1
1.109907257E2,7.333399057E0,9.254295402E1
1.114906667E2,7.356720068E0,9.062830886E1
1.119906081E2,8.164924350E0,8.689118285E1
1.129904902E2,8.581798747E0,8.484583667E1
1.134905492E2,8.912755947E0,8.402183911E1
1.139907053E2,8.946990501E0,8.191980124E1
1.144906462E2,8.125767468E0,8.722434786E1
1.149905859E2,7.890795513E0,8.664832064E1
1.154905259E2,9.197419732E0,8.076292743E1
1.159904681E2,8.898108511E0,8.361877584E1
1.164904091E2,8.729888850E0,8.315699564E1
1.169903490E2,9.037074112E0,8.335748650E1
1.174902890E2,8.942946273E0,8.324041778E1
1.179908246E2,8.674084063E0,8.106891601E1
1.184902726E2,8.138770254E0,8.086960378E1
1.189897389E2,8.401629230E0,8.284507980E1
1.194891979E2,8.506911092E0,8.081713848E1
1.199896269E2,7.323222940E0,8.899054812E1
1.204895669E2,7.978982832E0,8.678717112E1
1.209895074E2,8.460729463E0,8.501930335E1
1.214894474E2,8.509454983E0,8.177427642E1
1.219894884E2,8.879681507E0,8.291043676E1
1.224889354E2,8.535879416E0,8.173527710E1
1.229883951E2,9.472160152E0,7.860837207E1
1.234883371E2,8.851580762E0,8.094694006E1
1.239882774E2,8.062542292E0,8.794020592E1
1.244882174E2,8.810121583E0,9.043745059E1
1.249881589E2,9.024397665E0,8.259091159E1
1.254880999E2,8.306125612E0,8.222629400E1
1.259880397E2,8.164698205E0,8.332028066E1
1.264879808E2,9.503243113E0,8.173902514E1
1.269879223E2,8.845127623E0,8.402680709E1
1.274878633E2,8.031738523E0,8.745043372E1
1.284877452E2,7.976049149E0,8.461463778E1
1.289876863E2,8.398659839E0,8.600922664E1
1.294882943E2,8.407735132E0,8.661906384E1
1.299877420E2,8.088843951E0,8.354200712E1
1.304871920E2,8.288275428E0,8.120633653E1
1.309866185E2,8.386807734E0,8.313730797E1
1.314860815E2,8.548373712E0,8.165900832E1
1.319863162E2,9.512932737E0,1.037093688E2
1.324862572E2,1.010992521E1,9.825655153E1
1.329861989E2,8.936991256E0,9.651244914E1
1.334861399E2,6.813406783E0,9.772455668E1
1.339860807E2,7.302451035E0,9.572442902E1
1.344860217E2,7.854899512E0,9.536587979E1
1.349859628E2,8.025801065E0,9.373331736E1
1.354865067E2,7.773887366E0,9.274960107E1
1.359859292E2,7.973480099E0,9.346015371E1
1.364853672E2,8.231603610E0,9.256000038E1
1.369848145E2,7.991896176E0,9.512526455E1
1.374853925E2,8.942215773E0,9.225556063E1
1.379853339E2,8.899344427E0,9.488510525E1
1.384852759E2,9.459595582E0,9.144843831E1
1.389852184E2,8.914826384E0,9.168232947E1
1.394851614E2,9.537106318E0,8.838451609E1
1.399851028E2,9.177696773E0,9.039471531E1
1.404850468E2,9.346364027E0,9.055582900E1
1.409849915E2,8.693009293E0,9.362104302E1
1.414849365E2,8.316651179E0,9.024407000E1
1.419848823E2,8.260159688E0,8.671231077E1
1.429847736E2,8.514187343E0,8.528542945E1
1.434847196E2,8.957649836E0,8.547796189E1
1.439846658E2,8.665997917E0,8.944414539E1
1.444849157E2,8.187280213E0,9.347066914E1
1.449842965E2,8.470312953E0,1.010146627E2
1.454836915E2,8.050150776E0,9.926266441E1
1.459831007E2,7.901731482E0,9.751997766E1
1.464824988E2,8.192770880E0,9.816159412E1
1.469829005E2,8.267387388E0,9.259027374E1
1.474828455E2,9.344866774E0,1.269679735E2
1.479827905E2,9.197931703E0,1.185614493E2
1.484827355E2,9.992745969E0,1.248896642E2
1.489826823E2,9.870647777E0,1.250281385E2
1.494826272E2,9.634259771E0,1.266411627E2
1.499825720E2,1.002826911E1,1.266984445E2
1.504825170E2,9.899195650E0,1.255669637E2
1.509825993E2,9.780444429E0,1.259104465E2
1.514820262E2,9.838253642E0,1.250591310E2
1.519814820E2,1.007422484E1,1.252959792E2
1.524809530E2,9.697974753E0,1.248115406E2
1.529814361E2,9.530295894E0,1.245984868E2
1.534813801E2,9.535366773E0,1.233087295E2
1.539813236E2,9.633943333E0,1.238924224E2
1.544812676E2,9.786807140E0,1.239117500E2
1.549812121E2,9.745206549E0,1.233006094E2
1.554811561E2,1.003389016E1,1.242988711E2
1.559811002E2,1.098680954E1,1.350194795E2
1.564810452E2,1.346972954E1,1.445893343E2
1.569809885E2,1.283579106E1,1.440418488E2
1.574809325E2,1.265331330E1,1.414739560E2
1.584808204E2,1.327201648E1,1.420328067E2
1.589807645E2,1.208686885E1,1.413584349E2
1.594807085E2,1.201750433E1,1.396210599E2
1.599806520E2,1.245597029E1,1.369179774E2
1.604805960E2,1.083276350E1,1.399116580E2
1.609805418E2,1.093901808E1,1.343854702E2
1.614804857E2,1.215551279E1,1.361985802E2
1.619804305E2,1.008090406E1,1.329889671E2
1.624803745E2,1.013987331E1,1.206693271E2
1.629803190E2,1.040869670E1,1.300576868E2
1.634802640E2,9.602691129E0,1.355009661E2
1.639802080E2,6.823434647E0,1.385977869E2
1.644801530E2,7.890829095E0,1.191406337E2
1.649800965E2,6.432010631E0,1.099278692E2
1.654800415E2,6.186537787E0,9.812781801E1
1.659799855E2,9.312485618E0,9.009272091E1
1.664799305E2,6.535011082E0,1.232678696E2
1.669798744E2,5.612771118E0,1.021213727E2
1.674798184E2,8.342003731E0,8.758331697E1
1.679797637E2,9.047545765E0,9.215173573E1
1.684797077E2,9.797479181E0,8.688019206E1
1.689796507E2,7.814099333E0,1.054943053E2
1.694795948E2,1.046629107E1,8.928001701E1
1.699795395E2,8.931286153E0,9.096702507E1
1.704794835E2,9.162279152E0,9.589868214E1
1.709794277E2,8.763214710E0,8.967422793E1
1.714793717E2,8.044463401E0,9.640460713E1
1.719793156E2,9.455537726E0,8.883765223E1
1.724792596E2,9.454061270E0,8.988164268E1
1.734791469E2,9.237320841E0,8.823855469E1
1.739790904E2,9.012736336E0,8.920600914E1
1.744790344E2,9.321010975E0,8.992441194E1
1.749789792E2,7.473583729E0,9.410189208E1
1.754789222E2,8.445753503E0,8.934015870E1
1.759788654E2,9.277805849E0,8.676676242E1
1.764788084E2,9.000770030E0,9.205705044E1
1.769787516E2,8.888615199E0,9.078529914E1
1.774786956E2,7.876358094E0,8.823378711E1
1.779786385E2,9.809952820E0,8.661585076E1
1.784785815E2,8.012939977E0,9.366566143E1
1.789785257E2,9.308373257E0,8.916382153E1
1.794784687E2,8.858254526E0,9.169909784E1
1.799784119E2,9.802699614E0,8.978733331E1
1.804783549E2,9.566246578E0,8.848811466E1
1.809782975E2,9.659914281E0,8.912617206E1
1.814782405E2,8.490151799E0,8.807943869E1
1.819781835E2,8.761819264E0,9.057264655E1
1.824781265E2,8.574655439E0,8.896813137E1
1.829780699E2,8.527211311E0,8.979495462E1
1.834780129E2,8.523143324E0,8.972925644E1
1.839779549E2,8.402867516E0,8.795525684E1
1.844778979E2,8.281891115E0,9.267045370E1
1.849778422E2,8.023399658E0,9.692593846E1
1.854777852E2,7.240614452E0,9.865483322E1
1.859777269E2,8.710353680E0,9.717793307E1
1.864776699E2,8.838553784E0,9.570366931E1
1.869776133E2,8.429716255E0,9.918281836E1
1.874775553E2,8.837988596E0,9.458274246E1
1.879774975E2,8.399693985E0,9.679086072E1
1.889773824E2,8.541690506E0,9.335255560E1
1.894773254E2,7.966923390E0,9.401572631E1
1.899772677E2,8.460324894E0,9.906713723E1
1.904772107E2,8.059829889E0,9.096409742E1
1.909771526E2,8.484632069E0,9.814884706E1
1.914770956E2,9.599572917E0,9.589500756E1
1.919770380E2,7.169467423E0,9.077875737E1
1.924769800E2,7.996731146E0,9.295084399E1
1.929769235E2,8.757015927E0,9.819366249E1
1.934768655E2,6.496444748E0,9.703457857E1
1.939768074E2,8.182526237E0,8.790588650E1
1.944767494E2,8.493179166E0,9.876225761E1
1.949766920E2,7.634656331E0,9.357386809E1
1.954766350E2,7.918126357E0,8.935625428E1
1.959765772E2,8.283525919E0,7.241961843E1
1.964765192E2,8.447984398E0,6.220440919E1
1.969764609E2,9.255964786E0,6.286546573E1
1.974764039E2,7.756876430E0,5.651593970E1
1.979763483E2,8.476233543E0,7.893633475E1
1.984762923E2,8.070051876E0,6.419266337E1
1.989762340E2,7.662161922E0,7.349709445E1
1.994761770E2,8.275073347E0,7.372263638E1
1.999761216E2,8.833397199E0,6.374528176E1
2.004760646E2,9.240864388E0,5.581010432E1
2.009760074E2,9.827570250E0,4.468437394E1
2.014759504E2,7.120873230E0,6.799616549E1
2.019758931E2,8.337740172E0,6.348960731E1
2.024758361E2,8.893230040E0,6.416838878E1
2.029757793E2,9.291053568E0,6.462894575E1
2.034757223E2,8.672220548E0,6.584708121E1
2.044756076E2,9.315778162E0,6.515623491E1
2.049755502E2,9.846285755E0,6.598798130E1
2.054754932E2,9.634027500E0,6.473376690E1
2.059754355E2,1.010958673E1,6.417160409E1
2.064753785E2,9.473478802E0,6.195359459E1
2.069753215E2,9.633602476E0,5.794392884E1
2.074752635E2,1.040296542E1,5.547647569E1
2.079752063E2,1.016001620E1,5.413444624E1
2.084751493E2,1.064086803E1,5.155756019E1
2.089750927E2,1.050919817E1,5.535926701E1
2.094750347E2,1.043464784E1,5.355711253E1
2.099749777E2,1.055367432E1,5.220744181E1
2.104743607E2,1.053533413E1,5.288841014E1
2.109737796E2,1.060846770E1,5.041867739E1
2.114737216E2,9.188978525E0,6.297670998E1
2.119736649E2,9.641733288E0,6.462985615E1
2.124736079E2,8.400428292E0,8.173912436E1
2.129735501E2,7.117402353E0,9.111560044E1
2.134734931E2,9.518105867E0,9.480964036E1
2.139734363E2,8.630501823E0,1.083793039E2
2.144733782E2,8.040022028E0,1.058303981E2
2.149733209E2,9.085418104E0,9.455248341E1
2.154732639E2,8.390542569E0,9.961216274E1
2.159732081E2,9.254274238E0,9.042946253E1
2.164731531E2,8.295077532E0,1.065887010E2
