"t (s)","Inclination (deg)","Rotation (deg)"
1.287818330E2,5.762418009E0,-8.859429319E0
1.292818233E2,6.053727298E0,-9.674670822E0
1.297818153E2,5.591198363E0,-7.187889886E0
1.302818068E2,5.534740743E0,-1.006519186E1
1.307817988E2,5.155786014E0,-1.122996769E1
1.312817892E2,5.118040193E0,-1.317921952E0
1.317817812E2,4.575725502E0,2.079350547E0
1.322817726E2,3.686054831E0,5.745344580E0
1.327817636E2,3.896043933E0,-2.476899261E0
1.332817563E2,4.011919365E0,1.041913913E1
1.337817473E2,4.008398546E0,4.092701156E0
1.342817372E2,3.484341158E0,1.208673863E1
1.347817283E2,3.236376303E0,8.526149821E0
1.352817200E2,3.698446564E0,4.238426060E0
1.357817110E2,3.867317990E0,1.556522439E1
1.362817021E2,3.155370640E0,4.039382324E0
1.372816827E2,4.023882723E0,2.743972795E1
1.377816737E2,2.105425569E0,7.737114759E0
1.382816637E2,9.015823549E-1,7.071769575E1
1.387816547E2,1.742267992E0,-1.757870321E2
1.392816451E2,1.383600099E0,1.585863375E2
1.397816361E2,1.167011009E0,-1.488873462E2
1.402816246E2,2.577750729E-1,-1.411886160E2
1.407816146E2,4.170957137E-1,-2.927036124E1
1.412816055E2,1.118858632E0,-6.630431659E1
1.417815955E2,9.087261283E-1,-2.421243923E1
1.422815858E2,1.391724008E0,-5.638000065E1
1.427815758E2,9.873814552E-1,-7.077714317E1
1.432815662E2,1.446949365E0,-1.678530813E2
1.437815552E2,1.925305366E0,-1.722670265E2
1.442815448E2,2.362951086E0,-1.401029819E2
1.447815338E2,2.329674770E0,-1.401576882E2
1.452815231E2,2.083598474E0,-1.552543076E2
1.457815131E2,2.357515028E0,-1.483568492E2
1.462815016E2,2.501586293E0,-1.514301872E2
1.467814906E2,2.559244410E0,-1.481555774E2
1.472814786E2,2.443375810E0,-1.572762255E2
1.477814666E2,2.436903859E0,-1.521662390E2
1.482814562E2,2.273618246E0,-1.601895497E2
1.487814452E2,2.834705088E0,-1.504952080E2
1.492814346E2,3.479563489E0,-1.727306842E2
1.497814236E2,3.605965181E0,-1.658301523E2
1.502814122E2,3.230297309E0,-1.676542344E2
1.507814012E2,2.597715364E0,-1.789637047E2
1.512813905E2,2.311612459E0,-1.500818298E2
1.522813682E2,2.450277437E0,-1.478658287E2
1.527813562E2,2.767105976E0,-1.798535106E2
1.532813461E2,2.471436870E0,-1.595550398E2
1.537813351E2,2.373331996E0,-1.529351493E2
1.542813222E2,2.021011445E0,-1.699876815E2
1.547813112E2,1.804488522E0,-1.502342421E2
1.552813007E2,1.971179205E0,-1.503372043E2
1.557812888E2,1.866589378E0,-1.522867694E2
1.562812762E2,1.978701423E0,-1.655574539E2
1.567812652E2,1.995222156E0,-1.499452117E2
1.572812540E2,1.861319578E0,-1.540496868E2
1.577812420E2,2.017332838E0,-1.515431534E2
1.582812305E2,1.594327692E0,-1.238138736E2
1.587812185E2,1.705403177E0,1.709275061E2
1.592812065E2,1.765701289E0,-1.514779667E2
1.597811945E2,1.524608246E0,1.610265729E2
1.602811831E2,1.935648219E0,-1.676609127E2
